profile,nfe,metric,effect,arithmetic_definition,log_definition,n,per_seed_deltas_json,mean_delta,sample_sd_delta,ci95_low_delta,ci95_high_delta,negative_wins,positive_losses,ties,wins_of_3,per_seed_log_contrasts_json,mean_log_contrast,sample_sd_log_contrast,ci95_low_log_contrast,ci95_high_log_contrast,geometric_relative_percent,geometric_relative_ci95_low_percent,geometric_relative_ci95_high_percent
conservative,2,fid5k_full,local_at_global1,combined - global,log(combined / global),3,"[0.17854794539334762,4.516801932623515,-0.7681552409188726]",1.3090648790326636,2.8180213775765113,-5.691288249121824,8.309418007187151,1,2,0,1/3,"[0.0005655050960164942,0.08760091659035307,-0.0021875163193456615]",0.028659635122341303,0.05106320375325956,-0.09818839412686735,0.15550766437154995,2.9074274120727726,-9.35218874861386,16.825088994182313
conservative,2,fid5k_full,combined_vs_fixed,combined - fixed,log(combined / fixed),3,"[-11.943417234727974,-72.09903250159347,-15.857825351352858]",-33.30009169589143,33.65782232199749,-116.91075684325543,50.31057345147256,3,0,0,3/3,"[-0.03711950257041696,-0.8496483834732067,-0.044216480297140315]",-0.310328122113588,0.46707852659694066,-1.4706154963593525,0.8499592521321764,-26.67936644625487,-77.0215989569266,133.95515182476498
conservative,2,fid5k_full,additive_interaction,combined - global - local + fixed,log(combined * fixed / (global * local)),3,"[-1.019820909305281,3.6732927388352152,0.4547579158540884]",1.0360765817946742,2.399953639576993,-4.925738719509726,6.997891883099075,1,2,0,1/3,"[-0.0030840159085689933,0.08092614876087723,0.0011536290051639142]",0.026331920619157383,0.04732744149429945,-0.09123596078459978,0.14389980202291455,2.668166873943869,-8.719770006088243,15.476839727058492
conservative,2,fid5k_full,global_main_effect,0.5 * [(global - fixed) + (combined - local)],0.5 * [log(global / fixed) + log(combined / local)],3,"[-12.631875634773962,-74.77918806479937,-14.862291152506941]",-34.091118284026756,35.254545170930825,-121.6682628482144,53.48602628016088,3,0,0,3/3,"[-0.03922701562071795,-0.8967862256831212,-0.041452149475212696]",-0.3258217969263506,0.4944709516082078,-1.5541557266884085,0.9025121328357073,-27.80661732036831,-78.8632240510763,146.57897284439616
conservative,2,fid5k_full,local_main_effect,0.5 * [(local - fixed) + (combined - global)],0.5 * [log(local / fixed) + log(combined / global)],3,"[0.6884584000459881,2.680155563205904,-0.9955341988459168]",0.7910265881353252,1.83999021237046,-3.7797624560622194,5.36181563233287,1,2,0,1/3,"[0.002107513050300991,0.04713784220991446,-0.0027643308219276186]",0.015493674812762611,0.02751270094652775,-0.05285166268806168,0.0838390123135869,1.5614324087233533,-5.147929694138118,8.745381304283768
aggressive,1,kid5k_full,global_at_local0,global - fixed,log(global / fixed),3,"[-0.17631381750106812,-0.006878465414047241,-0.012379467487335205]",-0.06519058346748352,0.0962748415346122,-0.30435054636279757,0.1739693794278305,3,0,0,3/3,"[-0.6237718181868407,-0.022068773270998765,-0.029086874894311165]",-0.22497582211738354,0.3453852896380673,-1.0829604392588277,0.6330087950240606,-20.146447457582227,-66.14083396070781,88.32684320236659
aggressive,1,kid5k_full,global_at_local1,combined - local,log(combined / local),3,"[-0.18621079623699188,-0.01812279224395752,-0.00907045602798462]",-0.07113468150297801,0.09976156742177168,-0.3189561516052335,0.1766867885992775,3,0,0,3/3,"[-0.7045821742877283,-0.05693492380526877,-0.02156028354222017]",-0.26102579387840574,0.3845380842579832,-1.2162713439831156,0.694219756226304,-22.973894866105862,-70.36669665104422,100.21463021626916
aggressive,1,kid5k_full,local_at_global0,local - fixed,log(local / fixed),3,"[-0.011685729026794434,0.012319445610046387,-0.006569355726242065]",-0.001978546380996704,0.012643921471189251,-0.03338778831481742,0.02943069555282401,2,1,0,2/3,"[-0.031241317421130232,0.03834782221193622,-0.015329982690853616]",-0.0027411593000158754,0.03646259651330227,-0.09331926974076969,0.08783695114073793,-0.27374057533349416,-8.909736978101218,9.181008912499834
aggressive,1,kid5k_full,local_at_global1,combined - global,log(combined / global),3,"[-0.0215827077627182,0.0010751187801361084,-0.0032603442668914795]",-0.00792264441649119,0.012026930527995762,-0.0377991958911139,0.021953907058131522,2,1,0,2/3,"[-0.11205167352201784,0.0034816716776662204,-0.007803391338762622]",-0.03879113106103808,0.0636959062505508,-0.19702053276811293,0.11943827064603679,-3.8048390023226735,-17.882622783108886,12.686368135314272
aggressive,1,kid5k_full,combined_vs_fixed,combined - fixed,log(combined / fixed),3,"[-0.19789652526378632,-0.005803346633911133,-0.015639811754226685]",-0.07311322788397472,0.10817736588699907,-0.3418407001836436,0.19561424441569414,3,0,0,3/3,"[-0.7358234917088585,-0.018587101593332545,-0.03689026623307379]",-0.26376695317842164,0.4089153740518456,-1.2795690477516306,0.7520351413947872,-23.18474656945637,-72.18428529248142,112.13127980507073
