profile,training_seed,nfe,metric,fixed,global,local,combined,global_at_local0_delta,global_at_local0_log_contrast,global_at_local0_relative_percent,global_at_local1_delta,global_at_local1_log_contrast,global_at_local1_relative_percent,local_at_global0_delta,local_at_global0_log_contrast,local_at_global0_relative_percent,local_at_global1_delta,local_at_global1_log_contrast,local_at_global1_relative_percent,combined_vs_fixed_delta,combined_vs_fixed_log_contrast,combined_vs_fixed_relative_percent,additive_interaction_delta,additive_interaction_log_contrast,additive_interaction_relative_percent,global_main_effect_delta,global_main_effect_log_contrast,global_main_effect_relative_percent,local_main_effect_delta,local_main_effect_log_contrast,local_main_effect_relative_percent,multiplicative_interaction_log,multiplicative_interaction_percent
conservative,0,1,kid5k_full,0.3799205422401428,0.2036067247390747,0.3824406862258911,0.17566056549549103,-0.17631381750106812,-0.6237718181868407,-46.408076926154315,-0.20678012073040009,-0.778020044806337,-54.068546621178285,0.002520143985748291,0.006611441063651857,0.663334488545593,-0.02794615924358368,-0.14763678555584447,-13.725558072503327,-0.2042599767446518,-0.7714086037426852,-53.76386744982632,-0.03046630322933197,-0.15424822661949633,-14.294075031546091,-0.1915469691157341,-0.7008959314965888,-50.38594033796727,-0.012713007628917694,-0.07051267224609631,-6.808407001703206,-0.15424822661949633,-14.294075031546091
conservative,0,1,fid5k_full,338.1121480139137,202.0400849578176,339.3305581385323,182.1057881874951,-136.0720630560961,-0.5149115212079325,-40.24465369120564,-157.2247699510372,-0.6223869580435428,-46.33380819385265,1.218410124618572,0.0035970907275544306,0.36035680225495315,-19.934296770322504,-0.10387834610805591,-9.866505834465677,-156.00635982641862,-0.6187898673159884,-46.14041842116801,-21.152706894941048,-0.10747543683561034,-10.190141767701297,-146.64841650356664,-0.5686492396257377,-43.37101557991246,-9.357943322851966,-0.05014062769025074,-4.8904335290766365,-0.10747543683561034,-10.190141767701297
conservative,0,2,kid5k_full,0.3650455176830292,0.3442983627319336,0.3678963780403137,0.34435516595840454,-0.02074715495109558,-0.058513436808160346,-5.683443282026663,-0.02354121208190918,-0.06612773316985054,-6.3988703034552685,0.002850860357284546,0.007779265317001571,0.7809602417197602,5.6803226470947266e-05,0.00016496895531137312,0.016498256343777724,-0.020690351724624634,-0.05834846785284897,-5.667882694724708,-0.0027940571308135986,-0.007614296361690087,-0.7585381043626046,-0.02214418351650238,-0.062320584989005445,-6.041837726089281,0.0014538317918777466,0.003972117136156472,0.39800164489637874,-0.007614296361690087,-0.7585381043626046
conservative,0,2,fid5k_full,327.7645058439099,315.64254066378857,328.9628746986085,315.8210886091819,-12.121965180121322,-0.03768500766643346,-3.698376414770842,-13.141786089426603,-0.04076902357500245,-3.9949146545691545,1.1983688546986286,0.0036495210045854876,0.3656188615094379,0.17854794539334762,0.0005655050960164942,0.05656650241686121,-11.943417234727974,-0.03711950257041696,-3.6439019545380265,-1.019820909305281,-0.0030840159085689933,-0.30792652164983497,-12.631875634773962,-0.03922701562071795,-3.846759850728476,0.6884584000459881,0.002107513050300991,0.2109735416877543,-0.0030840159085689933,-0.30792652164983497
conservative,1,1,kid5k_full,0.31513506174087524,0.308256596326828,0.3144112527370453,0.3233996033668518,-0.006878465414047241,-0.022068773270998765,-2.182703941620792,0.008988350629806519,0.028186869631745326,2.858787830130185,-0.0007238090038299561,-0.002299463299568094,-0.22968215590847751,0.015143007040023804,0.047956179603176,4.912468125732639,0.008264541625976562,0.025887406332177232,2.6225395487006153,0.01586681604385376,0.05025564290274409,5.153988072561441,0.0010549426078796387,0.0030590481803732805,0.3063731842890259,0.007209599018096924,0.02282835815180395,2.309091925949896,0.05025564290274409,5.153988072561441
conservative,1,1,fid5k_full,313.698053239087,292.9630516095863,313.41088898915405,307.0806923717147,-20.735001629500744,-0.06838441202896917,-6.609859836681095,-6.330196617439356,-0.02040451936682075,-2.0197755852887123,-0.28716424993297096,-0.0009158353538527564,-0.0915416104652587,14.117640762128417,0.04706405730829566,4.818915110476847,-6.6173608673723265,-0.021320354720673507,-2.109468260655414,14.404805012061388,0.047979892662148416,4.9149559507731,-13.53259912347005,-0.04439446569789496,-4.342345359488725,6.915238256097723,0.02307411097722145,2.334237764060423,0.047979892662148416,4.9149559507731
conservative,1,2,kid5k_full,0.11487521976232529,0.033886078745126724,0.11570193618535995,0.03480964154005051,-0.08098914101719856,-1.2208422201721705,-70.50183771988738,-0.08089229464530945,-1.201122964435526,-69.91438286366807,0.000826716423034668,0.0071708748615040285,0.7196647151101526,0.0009235627949237823,0.0268901305981486,2.7254932678116304,-0.08006557822227478,-1.1939520895740219,-69.69786729281475,9.684637188911438e-05,0.01971925573664457,1.9914964554092278,-0.080940717831254,-1.2109825923038482,-70.20955830161533,0.0008751396089792252,0.017030502729826313,1.7176348507390953,0.01971925573664457,1.9914964554092278
conservative,1,2,fid5k_full,125.95152864547677,49.335694211259785,126.79503783926506,53.8524961438833,-76.61583443421699,-0.9372493000635598,-60.829618551015855,-72.94254169538176,-0.8563231513026826,-57.52791508122679,0.843509193788293,0.006674767829475847,0.6697093738041136,4.516801932623515,0.08760091659035307,9.155241463274383,-72.09903250159347,-0.8496483834732067,-57.243475547275715,3.6732927388352152,0.08092614876087723,8.429081738938985,-74.77918806479937,-0.8967862256831212,-59.212161528195765,2.680155563205904,0.04713784220991446,4.826649449151263,0.08092614876087723,8.429081738938985
conservative,2,1,kid5k_full,0.4318229556083679,0.4194434881210327,0.4325007200241089,0.42062148451805115,-0.012379467487335205,-0.029086874894311165,-2.866792357042386,-0.01187923550605774,-0.027850648560086233,-2.746639475050023,0.0006777644157409668,0.0015683119039039406,0.15695423481739604,0.0011779963970184326,0.002804538238128873,0.28084746345580036,-0.011201471090316772,-0.026282336656182292,-2.5939962072038845,0.0005002319812774658,0.0012362263342249324,0.123699077697528,-0.012129351496696472,-0.0284687617271987,-2.80673448306522,0.0009278804063796997,0.002186425071016407,0.2188817041282234,0.0012362263342249324,0.123699077697528
conservative,2,1,fid5k_full,372.20890617458747,363.9434452647575,372.23767686700876,365.25941947117315,-8.265460909829983,-0.02245678697285669,-2.220651030298868,-6.978257395835612,-0.018924727157339838,-1.8746778817687202,0.028770692421289823,7.729417554180884e-05,0.007729716281356092,1.3159742064156603,0.0036093539910586614,0.36158755530230685,-6.949486703414323,-0.01884743298179803,-1.8670930727688142,1.2872035139943705,0.0035320598155168526,0.3538304889280397,-7.621859152832798,-0.020690757065098264,-2.04781720572599,0.6723724494184751,0.0018433240833002351,0.18450240495073522,0.0035320598155168526,0.3538304889280397
conservative,2,2,kid5k_full,0.42699822783470154,0.4045562148094177,0.4252052307128906,0.4018641412258148,-0.022442013025283813,-0.0539891625365061,-5.255762568169609,-0.023341089487075806,-0.056457873813881454,-5.489370261965636,-0.001792997121810913,-0.0042079147871916245,-0.41990739186511267,-0.0026920735836029053,-0.006676626064566982,-0.665438691844374,-0.02513408660888672,-0.06066578860107308,-5.886227382333909,-0.0008990764617919922,-0.0024687112773753572,-0.24656665157509944,-0.02289155125617981,-0.055223518175193775,-5.372638503801989,-0.002242535352706909,-0.005442270425879303,-0.5427488100812741,-0.0024687112773753572,-0.24656665157509944
conservative,2,2,fid5k_full,366.6279496181853,351.5382795077513,365.40503646141235,350.77012426683245,-15.089670110433985,-0.04202896397779465,-4.11579917083481,-14.634912194579897,-0.04087533497263074,-4.005120546860701,-1.222913156772961,-0.0033411453245095757,-0.33355699096221214,-0.7681552409188726,-0.0021875163193456615,-0.21851254491955385,-15.857825351352858,-0.044216480297140315,-4.325318178242396,0.4547579158540884,0.0011536290051639142,0.11542946910649353,-14.862291152506941,-0.041452149475212696,-4.060475819106172,-0.9955341988459168,-0.0027643308219276186,-0.27605135776665274,0.0011536290051639142,0.11542946910649353
aggressive,0,1,kid5k_full,0.3799205422401428,0.2036067247390747,0.3682348132133484,0.1820240169763565,-0.17631381750106812,-0.6237718181868407,-46.408076926154315,-0.18621079623699188,-0.7045821742877283,-50.56849313405487,-0.011685729026794434,-0.031241317421130232,-3.0758350043120393,-0.0215827077627182,-0.11205167352201784,-10.600193972167075,-0.19789652526378632,-0.7358234917088585,-52.088924725396524,-0.009896978735923767,-0.0808103561008876,-7.763140356370142,-0.18126230686903,-0.6641769962372845,-48.53030490294308,-0.016634218394756317,-0.07164649547157403,-6.914009915432614,-0.0808103561008876,-7.763140356370142
aggressive,0,1,fid5k_full,338.1121480139137,202.0400849578176,331.5711210860245,186.4369362164515,-136.0720630560961,-0.5149115212079325,-40.24465369120564,-145.134184869573,-0.5757492915718236,-43.77166032862027,-6.54102692788922,-0.01953530944695192,-1.93457317825216,-15.603148741366113,-0.08037307981084307,-7.72279854496382,-151.67521179746223,-0.5952846010187756,-44.8594387064793,-9.062121813476892,-0.06083777036389115,-5.902411843098217,-140.60312396283456,-0.5453304063898781,-42.034976844377816,-11.072087834627666,-0.0499541946288975,-4.872700308457542,-0.06083777036389115,-5.902411843098217
aggressive,0,2,kid5k_full,0.3650455176830292,0.3442983627319336,0.36307385563850403,0.3450964391231537,-0.02074715495109558,-0.058513436808160346,-5.683443282026663,-0.017977416515350342,-0.050782360969705564,-4.951448923177117,-0.0019716620445251465,-0.005415779159145817,-0.5401140266122009,0.0007980763912200928,0.0023152966793089647,0.2317979048426196,-0.01994907855987549,-0.05619814012885138,-5.4648194796347,0.0027697384357452393,0.007731075838454782,0.7761037768144624,-0.01936228573322296,-0.054647898888932955,-5.3181534897087515,-0.0005867928266525269,-0.0015502412399184262,-0.15490402366625466,0.007731075838454782,0.7761037768144624
aggressive,0,2,fid5k_full,327.7645058439099,315.64254066378857,327.8669828852986,316.4695716405332,-12.121965180121322,-0.03768500766643346,-3.698376414770842,-11.397411244765408,-0.0353808893405434,-3.4762302518130386,0.10247704138873814,0.00031260561454082847,0.03126544807677693,0.827030976744652,0.0026167239404308873,0.2620150550700282,-11.29493420337667,-0.03506828372600257,-3.446051662700672,0.7245539353559138,0.002304118325890059,0.23067748464406507,-11.759688212443365,-0.03653294850348843,-3.5873673146655007,0.46475400906669506,0.0014646647774858579,0.14657379228098258,0.002304118325890059,0.23067748464406507
aggressive,1,1,kid5k_full,0.31513506174087524,0.308256596326828,0.32745450735092163,0.3093317151069641,-0.006878465414047241,-0.022068773270998765,-2.182703941620792,-0.01812279224395752,-0.05693492380526877,-5.534445804569724,0.012319445610046387,0.03834782221193622,3.909258951381378,0.0010751187801361084,0.0034816716776662204,0.3487739736787882,-0.005803346633911133,-0.018587101593332545,-1.8415426712128382,-0.011244326829910278,-0.03486615053427,-3.4265329323236946,-0.01250062882900238,-0.039501848538133766,-3.873182295192621,0.0066972821950912476,0.02091474694480122,2.113499304864826,-0.03486615053427,-3.4265329323236946
aggressive,1,1,fid5k_full,313.698053239087,292.9630516095863,321.1549729400396,294.0337798761817,-20.735001629500744,-0.06838441202896917,-6.609859836681095,-27.121193063857902,-0.08822913009657807,-8.444892761763805,7.4569197009525965,0.023492879000331257,2.37710104476459,1.070728266595438,0.003648160932722355,0.3654823571480264,-19.664273362905305,-0.06473625109624681,-6.268535351068351,-6.386191434357158,-0.019844718067608902,-1.9649107731004998,-23.928097346679323,-0.07830677106277362,-7.531928225756911,4.263823983774017,0.013570519966526806,1.3663017411816265,-0.019844718067608902,-1.9649107731004998
aggressive,1,2,kid5k_full,0.11487521976232529,0.033886078745126724,0.15733852982521057,0.03462729603052139,-0.08098914101719856,-1.2208422201721705,-70.50183771988738,-0.12271123379468918,-1.5137574512622818,-77.99185230153776,0.042463310062885284,0.3145532311919106,36.9647258571005,0.0007412172853946686,0.021638000101799282,2.187379929586174,-0.0802479237318039,-1.1992042200703712,-69.85660083857543,-0.041722092777490616,-0.2929152310901113,-25.391461713871205,-0.10185018740594387,-1.3672998357172261,-74.52059827441143,0.021602263674139977,0.16809561564685493,18.304972330461005,-0.2929152310901113,-25.391461713871205
aggressive,1,2,fid5k_full,125.95152864547677,49.335694211259785,160.68209812042872,48.905684375654076,-76.61583443421699,-0.9372493000635598,-60.829618551015855,-111.77641374477464,-1.1895342325372282,-69.5637006563108,34.73056947495195,0.2435307275148757,27.5745517727777,-0.43000983560570916,-0.008754204958792755,-0.8715998476972402,-77.0458442698227,-0.9460035050223525,-61.171027536067626,-35.160579310557665,-0.25228493247366846,-22.29766926490184,-94.19612408949581,-1.063391766300394,-65.47172962357118,17.15027981967312,0.11738826127804147,12.45559664766611,-0.25228493247366846,-22.29766926490184
aggressive,2,1,kid5k_full,0.4318229556083679,0.4194434881210327,0.42525359988212585,0.41618314385414124,-0.012379467487335205,-0.029086874894311165,-2.866792357042386,-0.00907045602798462,-0.02156028354222017,-2.1329522032262216,-0.006569355726242065,-0.015329982690853616,-1.5213076657740214,-0.0032603442668914795,-0.007803391338762622,-0.7773023921522076,-0.015639811754226685,-0.03689026623307379,-3.6218111036252667,0.003309011459350586,0.007526591352090994,0.7554987337735363,-0.010724961757659912,-0.02532357921826567,-2.5005626936889196,-0.0049148499965667725,-0.011566687014808119,-1.1500050060942961,0.007526591352090994,0.7554987337735363
aggressive,2,1,fid5k_full,372.20890617458747,363.9434452647575,367.51710161555,361.7775998596461,-8.265460909829983,-0.02245678697285669,-2.220651030298868,-5.739501755903916,-0.015740194580827982,-1.5616965117198682,-4.69180455903745,-0.012685419808168952,-1.2605299016775404,-2.1658454051113836,-0.005968827416140243,-0.5951049354758611,-10.431306314941367,-0.028425614388996934,-2.8025407618937246,2.525959153926067,0.0067165923920287085,0.6739199284126851,-7.0024813328669495,-0.019098490776842336,-1.8917270116026796,-3.428824982074417,-0.009327123612154598,-0.9283760915848162,0.0067165923920287085,0.6739199284126851
aggressive,2,2,kid5k_full,0.42699822783470154,0.4045562148094177,0.4199881851673126,0.3978809714317322,-0.022442013025283813,-0.0539891625365061,-5.255762568169609,-0.022107213735580444,-0.05407368652710909,-5.263770390772656,-0.007010042667388916,-0.016553282622267407,-1.641702988543231,-0.006675243377685547,-0.0166378066128704,-1.6500162729746168,-0.02911725640296936,-0.0706269691493765,-6.81905790350052,0.00033479928970336914,-8.452399060299154e-05,-0.008452041855113989,-0.02227461338043213,-0.05403142453180759,-5.259766564077773,-0.0068426430225372314,-0.016595544617568903,-1.645859718592921,-8.452399060299154e-05,-0.008452041855113989
