arm,profile,global_level,local_level,global_gap_scale,training_seed,nfe,kid5k_full,fid5k_full,run_label,run_dir,eval_dir,training_validation_path,kid_metric_path,fid_metric_path
local-aggressive,aggressive,0,1,1.0,0,1,0.3682348132133484,331.5711210860245,local-aggressive-g1p0000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed0-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed0-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed0-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed0-256k/nfe1/metric-fid5k_full.jsonl
local-aggressive,aggressive,0,1,1.0,0,2,0.36307385563850403,327.8669828852986,local-aggressive-g1p0000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed0-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed0-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed0-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed0-256k/nfe2/metric-fid5k_full.jsonl
local-aggressive,aggressive,0,1,1.0,1,1,0.32745450735092163,321.1549729400396,local-aggressive-g1p0000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed1-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed1-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed1-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed1-256k/nfe1/metric-fid5k_full.jsonl
local-aggressive,aggressive,0,1,1.0,1,2,0.15733852982521057,160.68209812042872,local-aggressive-g1p0000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed1-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed1-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed1-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed1-256k/nfe2/metric-fid5k_full.jsonl
local-aggressive,aggressive,0,1,1.0,2,1,0.42525359988212585,367.51710161555,local-aggressive-g1p0000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed2-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed2-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed2-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed2-256k/nfe1/metric-fid5k_full.jsonl
local-aggressive,aggressive,0,1,1.0,2,2,0.4199881851673126,362.2035709878712,local-aggressive-g1p0000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed2-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/local-aggressive-g1p0000-seed2-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed2-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/local-aggressive-g1p0000-seed2-256k/nfe2/metric-fid5k_full.jsonl
combined-aggressive,aggressive,1,1,1.1,0,1,0.1820240169763565,186.4369362164515,combined-aggressive-g1p1000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed0-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed0-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed0-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed0-256k/nfe1/metric-fid5k_full.jsonl
combined-aggressive,aggressive,1,1,1.1,0,2,0.3450964391231537,316.4695716405332,combined-aggressive-g1p1000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed0-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed0-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed0-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed0-256k/nfe2/metric-fid5k_full.jsonl
combined-aggressive,aggressive,1,1,1.1,1,1,0.3093317151069641,294.0337798761817,combined-aggressive-g1p1000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed1-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed1-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed1-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed1-256k/nfe1/metric-fid5k_full.jsonl
combined-aggressive,aggressive,1,1,1.1,1,2,0.03462729603052139,48.905684375654076,combined-aggressive-g1p1000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed1-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed1-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed1-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed1-256k/nfe2/metric-fid5k_full.jsonl
combined-aggressive,aggressive,1,1,1.1,2,1,0.41618314385414124,361.7775998596461,combined-aggressive-g1p1000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed2-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed2-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed2-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed2-256k/nfe1/metric-fid5k_full.jsonl
combined-aggressive,aggressive,1,1,1.1,2,2,0.3978809714317322,348.0244777968852,combined-aggressive-g1p1000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed2-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/combined-aggressive-g1p1000-seed2-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed2-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/combined-aggressive-g1p1000-seed2-256k/nfe2/metric-fid5k_full.jsonl
