evidence_class,phase,checkpoint_id,method,training_seed,budget_kimg,checkpoint_sha256,integrity_receipt_status,nfe,mid_t,metric_name,metric_value,generated_sample_count,generation_seed_range,metric_seed,dataset_sha256,evaluation_git_commit,run_id,completion_status
formal,formal,confirmatory-256k-seed4-global110,global110,4,256,62a6122a7be523aeb12875d96e96312e9c90efde9eafb75d730c75ceea0e8862,passed,2,[0.821],kid50k_full,0.08487465232610703,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed4-global110/nfe2,completed
formal,formal,confirmatory-256k-seed4-global110,global110,4,256,62a6122a7be523aeb12875d96e96312e9c90efde9eafb75d730c75ceea0e8862,passed,2,[0.821],fid50k_full,97.63137447884101,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed4-global110/nfe2,completed
formal,formal,confirmatory-256k-seed5-fixed,fixed,5,256,21fab0e501bb27032c0e49a553b05a2800ea0fbe20a2a1d94a6bbf5276f2b72a,passed,1,[],kid50k_full,0.3131319284439087,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed5-fixed/nfe1,completed
formal,formal,confirmatory-256k-seed5-fixed,fixed,5,256,21fab0e501bb27032c0e49a553b05a2800ea0fbe20a2a1d94a6bbf5276f2b72a,passed,1,[],fid50k_full,294.2033652729319,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed5-fixed/nfe1,completed
formal,formal,confirmatory-256k-seed5-fixed,fixed,5,256,21fab0e501bb27032c0e49a553b05a2800ea0fbe20a2a1d94a6bbf5276f2b72a,passed,2,[0.821],kid50k_full,0.034109968692064285,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed5-fixed/nfe2,completed
formal,formal,confirmatory-256k-seed5-fixed,fixed,5,256,21fab0e501bb27032c0e49a553b05a2800ea0fbe20a2a1d94a6bbf5276f2b72a,passed,2,[0.821],fid50k_full,45.80437363837888,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed5-fixed/nfe2,completed
formal,formal,confirmatory-256k-seed5-global110,global110,5,256,491dc887990e6d9f6fde70b5d12775aaf4bfc6155b731682926b02061c253e9b,passed,1,[],kid50k_full,0.2974022924900055,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed5-global110/nfe1,completed
formal,formal,confirmatory-256k-seed5-global110,global110,5,256,491dc887990e6d9f6fde70b5d12775aaf4bfc6155b731682926b02061c253e9b,passed,1,[],fid50k_full,281.7178978786318,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed5-global110/nfe1,completed
formal,formal,confirmatory-256k-seed5-global110,global110,5,256,491dc887990e6d9f6fde70b5d12775aaf4bfc6155b731682926b02061c253e9b,passed,2,[0.821],kid50k_full,0.034024789929389954,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed5-global110/nfe2,completed
formal,formal,confirmatory-256k-seed5-global110,global110,5,256,491dc887990e6d9f6fde70b5d12775aaf4bfc6155b731682926b02061c253e9b,passed,2,[0.821],fid50k_full,44.02470061991126,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed5-global110/nfe2,completed
