budget_kimg,seed_count,r_tar_mean,r_tar_sd,log_fid_b_minus_a_mean,log_fid_b_minus_a_sd
256,3,0.0025292778924296687,0.0009781781112918539,-0.0363286783319993,0.0280353755516411
512,3,0.00237676594004034,0.000529341661109045,0.029925182403022294,0.20078335701343336
768,3,0.0024142306494203567,0.0006143364315659063,-0.07543754054098988,0.09669661435503853
1024,3,0.0025301568908517535,0.0004335605398651326,-0.05127057749088889,0.06999243182622188
