seed,budget_kimg,r_tar,cos_tau_g_a,a_star,s_explicit,a_star_minus_s,best_scalar_residual_over_g_b,identity_error_max,layer_r_tar_median,layer_r_tar_q90,layer_r_tar_max,fid_a_nfe1,fid_b_nfe1,log_fid_b_minus_a
3,256,0.003632249583428598,-0.3161703307806124,0.9079424995386384,0.9090909090909091,-0.0011484095522706905,0.003795283545652528,6.473154328240474e-06,0.002979009731713217,0.004951040072830997,0.01127229162857824,331.88461674585875,310.50756280404903,-0.06657911065463029
3,512,0.002987885954038525,-0.2724111698328127,0.9082769755828429,0.9090909090909091,-0.0008139335080661336,0.003165193637715387,7.72321719958649e-06,0.0019426994283425454,0.004339713105043096,0.01206148084166234,23.892576660764625,23.48012958590614,-0.017413296787739174
3,768,0.0017413855826476326,-0.3690139385416972,0.9084483135385383,0.9090909090909091,-0.0006425955523707838,0.0017815903434289305,6.923707028707594e-06,0.0019136864155501867,0.00470700542530225,0.011933653500709285,12.677410137806897,10.834847321922702,-0.15705413664469337
3,1024,0.0030305557394092776,-0.10085746270625105,0.9087852549284409,0.9090909090909091,-0.0003056541624681941,0.003317710073702396,8.295215095963316e-06,0.0024569077190610953,0.005111908856798977,0.012276100805669616,9.669405820296213,8.686351455868186,-0.10721386626750729
4,256,0.0021885585149741516,-0.08663962823694712,0.9089012931947973,0.9090909090909091,-0.0001896158961117722,0.0023988552549666555,6.701776273388634e-06,0.0016404379742264573,0.004019820891980969,0.010605029937809972,310.2347909306416,306.77335397595016,-0.011220186628959183
4,512,0.0020611143249520012,-0.06696843474893577,0.9089528794907276,0.9090909090909091,-0.00013802960018149957,0.0022624737775227416,6.878032282406243e-06,0.0014393375888240361,0.004136114281613976,0.009649457007932417,32.76883034937084,28.403680839522742,-0.1429590255534352
4,768,0.002556053881063784,-0.18330351232322745,0.9086223754368223,0.9090909090909091,-0.00046853365408672243,0.0027654342485816307,6.0365007723013984e-06,0.0020324382756710738,0.004188390589556235,0.011182409507795749,10.198653922411369,10.523527837144677,0.03135775363934723
4,1024,0.0022667103536847706,-0.21515199079348116,0.9086032218457617,0.9090909090909091,-0.0004876872451473613,0.0024362875669574897,6.069617869678952e-06,0.0023002388195585517,0.004671478755082901,0.00959874074819075,8.293418813661093,8.522227290963617,0.02721543954115635
5,256,0.0017670255788862566,0.5140620119613132,0.9099992698151784,0.9090909090909091,0.0009083607242693637,0.0016655721376056143,4.843630103943564e-06,0.002457415422583482,0.003956773694442656,0.00906556585610585,318.63897820926275,308.8550257374393,-0.03118673771240843
5,512,0.0020812975411304943,0.005184517045910188,0.9091016996134892,0.9090909090909091,1.0790522580128581e-05,0.002289363352677872,6.1939736407355765e-06,0.0015981706681564537,0.004569996053851937,0.011120775821036506,19.725624472339653,25.331948729454204,0.25014786955024126
5,768,0.0029452524845496536,-0.19568049088425832,0.9085145806389552,0.9090909090909091,-0.000576328451953878,0.003179144789667328,6.102726853448351e-06,0.0019562395764457555,0.004969631952765664,0.011328256774080862,10.157980098289096,9.185658182810707,-0.10061623861762348
5,1024,0.002293204579461212,-0.28942689150987255,0.9084271940178793,0.9090909090909091,-0.0006637150730297581,0.0024163183475259826,7.5050455569437825e-06,0.00253139278919609,0.004887022762165814,0.01156060929080364,8.379453301226578,7.783214036417319,-0.07381330574631573
