block,training_seed,metric,A,B,C,delta_gap_B_minus_A,delta_ctrl_C_minus_B
block_5000_9999,3,fid5k_full,316.2286207804385,207.8802884223472,298.91274043236103,-108.34833235809131,91.03245201001383
block_5000_9999,3,kid5k_full,0.32445674280280284,0.20322906735485485,0.3052326821796796,-0.12122767544794799,0.10200361482482473
block_5000_9999,4,fid5k_full,253.94699969627183,216.52199521363173,221.5524795050354,-37.425004482640105,5.030484291403667
block_5000_9999,4,kid5k_full,0.25654408056556566,0.2127101212762762,0.21645007821071077,-0.04383395928928946,0.003739956934434574
block_5000_9999,5,fid5k_full,255.66451189574653,237.6332426217865,222.89049984799925,-18.03126927396002,-14.742742773787256
block_5000_9999,5,kid5k_full,0.257685899169169,0.23578871548298294,0.21771228121621616,-0.021897183686186067,-0.018076434266766778
block_10000_14999,3,fid5k_full,316.13053778726305,208.58256436261215,298.7762216985931,-107.5479734246509,90.19365733598093
block_10000_14999,3,kid5k_full,0.32433871034784784,0.2036197181856856,0.30522617252502515,-0.12071899216216223,0.10160645433933954
block_10000_14999,4,fid5k_full,254.19282908910972,217.3697582517745,222.40727324936591,-36.82307083733522,5.0375149975914155
block_10000_14999,4,kid5k_full,0.2571154534709709,0.21349087704954942,0.21767121106356363,-0.04362457642142151,0.004180334014014214
block_10000_14999,5,fid5k_full,255.79022708989808,237.93727976681674,223.7234129101487,-17.852947323081338,-14.213866856668034
block_10000_14999,5,kid5k_full,0.2580739324674674,0.23644448582582586,0.21890610116366377,-0.021629446641641542,-0.017538384662162093
block_15000_19999,3,fid5k_full,317.10730424612893,209.27477810853668,299.5319207007951,-107.83252613759225,90.25714259225845
block_15000_19999,3,kid5k_full,0.32548333044794786,0.20447168440190192,0.3061421265565567,-0.12101164604604595,0.10167044215465479
block_15000_19999,4,fid5k_full,255.00653874038866,217.66029975581313,222.4301024167902,-37.346238984575535,4.769802660977064
block_15000_19999,4,kid5k_full,0.2581343601901902,0.21394874202952957,0.21776962248999004,-0.044185618160660634,0.003820880460460474
block_15000_19999,5,fid5k_full,256.67863519887555,238.5630371352957,223.96877533153872,-18.115598063579853,-14.594261803756979
block_15000_19999,5,kid5k_full,0.2592400431056056,0.237263046996997,0.21927145377627622,-0.02197699610860862,-0.017991593220720775
