row,gap_effect,control_effect,R_opt,absorption_ratio_fid,absorption_ratio_kid,fid_delta_gap_B_minus_A,fid_delta_control_C_minus_B,kid_delta_gap_B_minus_A,kid_delta_control_C_minus_B,sign_agreement,observation_status
seed 3,improves,regresses,0.098956; range 0.082232-0.098956 over K,0.838613139,0.841089734,-107.909610640,90.494417313,-0.120986105,0.101760170,gap: FID 3/3 blocks −; KID 3/3 blocks −; control: FID 3/3 blocks +; KID 3/3 blocks +,per-seed descriptive
seed 4,improves,regresses,not measured,0.132961989,0.089188704,-37.198104768,4.945933983,-0.043881385,0.003913724,gap: FID 3/3 blocks −; KID 3/3 blocks −; control: FID 3/3 blocks +; KID 3/3 blocks +,per-seed descriptive
seed 5,improves,improves,not measured,-0.806500387,-0.818373197,-17.999938220,-14.516957145,-0.021834542,-0.017868804,gap: FID 3/3 blocks −; KID 3/3 blocks −; control: FID 3/3 blocks −; KID 3/3 blocks −,per-seed descriptive
mean,all seed effects improve,mean masks sign reversal,not estimable (1/3 seeds measured),0.055024913,0.037301747,-54.369217876,26.974464717,-0.062234010,0.029268363,descriptive mean across training seeds,descriptive only
std,between-seed dispersion,between-seed dispersion,not estimable (1/3 seeds measured),0.825321313,0.830947349,47.350529487,55.864025241,0.052061235,0.063717472,sample SD across training seeds,descriptive only
sign agreement,Robust: FID −3/3; KID −3/3,Seed-dependent: FID +2/−1; KID +2/−1,Not reproduced: measured on seed 3 only,+2/−1,+2/−1,gap −3/3; control +2/−1,gap −3/3; control +2/−1,gap −3/3; control +2/−1,gap −3/3; control +2/−1,sign agreement is across training seeds; each seed's three blocks agree internally,see observation verdicts
