kimg,nfe,pair_count,ia_fid_wins,mean_ia_fid50k,mean_ib_fid50k,mean_delta_fid50k_ia_minus_ib,sample_sd_delta_fid50k_ia_minus_ib,ia_kid_wins,mean_ia_kid50k,mean_ib_kid50k,mean_delta_kid50k_ia_minus_ib,sample_sd_delta_kid50k_ia_minus_ib
1280,1,3,3,71.08318208566838,75.53282406211953,-4.449641976451143,0.4552114605114927,3,0.05130430336586587,0.05505582897480815,-0.0037515256089422863,0.0004739458934003105
1280,2,3,3,29.350255136264483,32.28831119884655,-2.9380560625820693,0.11057453923119487,3,0.01770764279029028,0.01959736294044043,-0.0018897201501501513,8.94140000855812e-05
2560,1,3,3,65.41244054438235,70.18227801110501,-4.769837466722659,0.623025792648775,3,0.04702441181514847,0.05087625488488489,-0.0038518430697364234,0.0005728005583840075
2560,2,3,3,28.186709979749207,31.239532943063367,-3.0528229633141613,0.28126658819601164,3,0.016981975882549207,0.018925500965131813,-0.0019435250825826055,0.00020368364749248196
3840,1,3,3,28.271810663100304,31.635409242694916,-3.3635985795946097,0.33632584324711606,3,0.018101298660327,0.0204142592325659,-0.0023129605722389014,0.00032860451770485357
3840,2,3,3,8.747624124343815,9.770330619659871,-1.0227064953160554,0.08996498029911278,3,0.004815896845178497,0.005458995970970984,-0.0006430991257924866,8.813613926316454e-05
5120,1,3,3,22.148443174326047,24.534392117330594,-2.385948943004545,0.2698984392938952,3,0.01391395441191191,0.01552906600517183,-0.0016151115932599193,0.00022640913169694874
5120,2,3,3,7.601163816652344,8.416437846626359,-0.8152740299740145,0.09603445478132121,3,0.004155601621621627,0.00463654589756422,-0.00048094427594259334,8.786835801888672e-05
6400,1,3,3,21.547596033029933,25.060655715533784,-3.513059682503851,2.410493442425168,3,0.01347984852102102,0.015815800292792802,-0.00233595177177178,0.001699964313663651
6400,2,3,3,7.516644917629729,8.59549316480593,-1.0788482471762018,0.5755147952005016,3,0.004049971069402742,0.004604415156823487,-0.0005544440874207447,0.0002887809320311835
7680,1,3,2,9.351714165791137,9.607231535433595,-0.2555173696424576,0.5284337196820977,2,0.0058095216750083485,0.005924411829329327,-0.00011489015432097818,0.00032939621649288154
7680,2,3,1,4.041749219693804,3.7882393048004848,0.2535099148933189,0.5711154513142163,1,0.002239229130797456,0.002109140508008016,0.0001300886227894398,0.0002456816515542237
8960,1,3,3,12.824405795109959,116.31628639172617,-103.49188059661621,178.49002484572873,3,0.009325109780613948,0.13192705612779448,-0.12260194634718055,0.2120029643272596
8960,2,3,3,17.4428868102124,96.8426780758426,-79.3997912656302,137.43762045165982,1,0.01581479859192527,0.09733532225225225,-0.08152052366032699,0.14126965242884562
10240,1,3,3,94.11946810331798,110.3774133410185,-16.25794523770051,27.774501493431387,3,0.09213124060894226,0.12012520090256919,-0.027993960293626923,0.04824754952617838
10240,2,3,1,86.58433676043396,73.44437953685457,13.139957223579383,22.795247245569126,1,0.07726779710210212,0.07612825988655317,0.0011395372155489517,0.001998312702059591
11520,1,3,2,127.41512305551426,110.33213814377693,17.082984911737324,29.76654917738883,1,0.1535722327711044,0.1222102973565232,0.0313619354145812,0.05440211132017828
11520,2,3,2,81.26727483816234,70.29201700254875,10.975257835613581,19.073853596670947,2,0.0944736265548882,0.08221923129546212,0.012254395259426083,0.021267932272420288
12800,1,3,2,97.72759289912175,85.28895683915415,12.438636059967601,21.74447086968803,2,0.10490628077994663,0.0891552127402402,0.015751068039706433,0.02736738370016042
12800,2,3,1,87.09746783425992,75.05354373716561,12.043924097094306,20.866866161183893,0,0.10088634758174843,0.09121601907991324,0.009670328501835196,0.016642146476175193
