kimg,seed,nfe,ia_fid50k,ib_fid50k,delta_fid50k_ia_minus_ib,ia_kid50k,ib_kid50k,delta_kid50k_ia_minus_ib
1280,101,1,70.73031097763548,75.48348514511821,-4.753174167482726,0.05125663686436437,0.05536432891891893,-0.004107692054554558
1280,101,2,29.678752630191816,32.61339094581709,-2.9346383156252713,0.018063945462962954,0.020052735635635643,-0.0019887901726726893
1280,102,1,71.74671151430977,75.67294424579032,-3.926232731480553,0.051683633821321344,0.05489723762262263,-0.0032136038013012846
1280,102,2,29.263978935225676,32.093208953814354,-2.829230018588678,0.01743058304554555,0.019245594559559532,-0.0018150115140139825
1280,103,1,70.7725237650599,75.44204279545005,-4.669519030390148,0.05097263941191189,0.0549059203828829,-0.003933280970971016
1280,103,2,29.108033843375956,32.158333696908215,-3.050299853532259,0.017628399862362337,0.01949375862612612,-0.0018653587637637824
2560,101,1,64.72784129450761,68.78009689587891,-4.0522556013713,0.04603015238738739,0.0492220706081081,-0.0031919182207207075
2560,101,2,27.958620974528806,30.697283736525222,-2.738662761996416,0.016715285810810783,0.018423617357357366,-0.0017083315465465827
2560,102,1,64.70449124647583,69.87748560348564,-5.172994357009813,0.046583200983483466,0.0507266023773774,-0.004143401393893936
2560,102,2,27.874003449788066,31.012573354806655,-3.1385699050185885,0.016808965813313297,0.018869918220720736,-0.002060952407407439
2560,103,1,66.80498909216361,71.88925153395047,-5.084262441786862,0.04845988207457455,0.05268009166916918,-0.004220209594594626
2560,103,2,28.727505514930744,32.00874173785822,-3.281236222927479,0.01742167602352354,0.019482967317317336,-0.0020612912937937947
3840,101,1,29.126933057102807,32.64323497520537,-3.5163019181025597,0.018730082412412412,0.021242044319319326,-0.002511961906906914
3840,101,2,8.911826972101004,9.981184898478379,-1.069357926377375,0.004889073443443454,0.005582174404404427,-0.0006931009609609734
3840,102,1,27.29971120843923,30.89619320838368,-3.596481999944448,0.01755021902152152,0.020043464166666677,-0.002493245145145158
3840,102,2,8.547023901655116,9.62678770617315,-1.0797638045180342,0.004791820162662625,0.005486683215715716,-0.000694863053053091
3840,103,1,28.388787723758877,31.3667995444957,-2.978011820736821,0.018023594547047068,0.0199572692117117,-0.0019336746646646322
3840,103,2,8.784021499275326,9.703019254328083,-0.9189977550527573,0.004766796929429411,0.005308130292792807,-0.0005413333633633955
5120,101,1,21.857627717038678,24.503179033975133,-2.645551316936455,0.013709454396896886,0.015542871936936925,-0.0018334175400400391
5120,101,2,7.5784569336446825,8.476530038513458,-0.8980731048687751,0.004091566844344352,0.004620845725725704,-0.0005292788813813518
5120,102,1,22.011821792655315,24.11863729122765,-2.1068154985723346,0.013799968618618623,0.01518135605355355,-0.001381387434934928
5120,102,2,7.546402284527539,8.256395235098969,-0.7099929505714302,0.004140532112112133,0.004520051899399378,-0.000379519787287245
5120,103,1,22.575880013284152,24.981360026788998,-2.405480013504846,0.01423244022022022,0.01586297002502501,-0.0016305298048047909
5120,103,2,7.67863223178481,8.516388266266649,-0.8377560344818384,0.0042347059084083954,0.004768740067567579,-0.0005340341591591833
6400,101,1,20.356795875991708,26.653084618864753,-6.296288742873045,0.01268709327327328,0.016985938243243258,-0.004298844969969977
6400,101,2,7.256471516247709,8.998441803912504,-1.7419702876647953,0.003944825963463472,0.0048254352652652545,-0.0008806093018017824
6400,102,1,20.09813355128054,22.246142478031206,-2.1480089267506663,0.012503255925925895,0.013844861986986994,-0.0013416060610610993
6400,102,2,7.18563008989346,7.89524572197781,-0.7096156320843496,0.0038636683083083287,0.004194974677177174,-0.0003313063688688456
6400,103,1,24.187858671817555,26.282740049705396,-2.094881377887841,0.015249196363863885,0.01661660064814815,-0.0013674042842842637
6400,103,2,8.107833146748018,8.892791968527478,-0.7849588217794601,0.0043414189364364255,0.0047928355280280315,-0.00045141659159160605
7680,101,1,9.070529262301255,9.822996284925804,-0.7524670226245487,0.005805299999999975,0.006199620765765721,-0.00039432076576574604
7680,101,2,3.733922431762826,3.882828744725219,-0.1489063129623931,0.0021588227952952957,0.002231094019019029,-7.227122372373317e-05
7680,102,1,9.101112053907348,9.414786261923615,-0.3136742080162662,0.005429765382882897,0.0056284145420420735,-0.00019864915915917668
7680,102,2,3.7174184913871993,3.7151590169095416,0.0022594744776576192,0.002035743345845858,0.0019766588388388344,5.908450700702365e-05
7680,103,1,9.883501181164807,9.583912059451364,0.2995891217134421,0.006193499642142174,0.005945200180180186,0.0002482994619619882
7680,103,2,4.673906735931386,3.7667301527666934,0.9071765831646923,0.002523121251251214,0.002119668666166185,0.00040345258508502893
8960,101,1,8.218996390568906,8.840799222951917,-0.6218028323830112,0.00520689372872871,0.005527475625625625,-0.0003205818968969147
8960,101,2,3.7947930918745865,3.8521051233879504,-0.05731203151336395,0.0022420592792793057,0.00219273807057054,4.932120870876572e-05
8960,102,1,8.480842104083028,8.74037880605094,-0.259536701967912,0.005446223360860904,0.0055296354079078765,-8.341204704697281e-05
8960,102,2,3.8191670740607098,3.862143460541142,-0.04297638648043245,0.0023419965690690925,0.002308221629129148,3.3774939939944324e-05
8960,103,1,21.773378890677943,331.36768114617564,-309.5943022554977,0.01732221225225223,0.38472405734985,-0.36740184509759777
8960,103,2,44.714700264701904,282.8137856435987,-238.0990853788968,0.04286033992742741,0.28750500705705706,-0.24464466712962965
10240,101,1,6.373092409678185,6.716101457939498,-0.3430090482613126,0.003887524329329358,0.004144900695695705,-0.0002573763663663471
10240,101,2,3.3453035278643206,3.3940443605831567,-0.04874083271883611,0.0018948855030029971,0.001969950510510489,-7.506500750749205e-05
10240,102,1,6.447032584132756,6.548984162313153,-0.10195157818039746,0.004015855988488475,0.004035098443443481,-1.9242454955006004e-05
10240,102,2,3.368347368261374,3.361356688385871,0.0069906798755026145,0.0020355805155154987,0.001987803616116107,4.7776899399391577e-05
10240,103,1,269.538279316143,317.86715440280284,-48.32887508665982,0.26849034150900897,0.3521956035685684,-0.08370526205955942
10240,103,2,253.03935938517617,213.5777375615947,39.46162182358148,0.22787292528778785,0.2244270255330329,0.0034458997547549552
11520,101,1,5.567043589300424,5.713624336527676,-0.14658074722725178,0.0033455911661661774,0.003463479882382389,-0.00011788871621621179
11520,101,2,3.29778835337802,3.349468870267767,-0.051680516889747175,0.0019790699274274174,0.002017831321321314,-3.876139389389667e-05
11520,102,1,5.652257890296202,5.71112036990476,-0.058862479608558615,0.0035535451551551474,0.0035298796771771734,2.366547797797401e-05
11520,102,2,3.3382015745240965,3.36058790957782,-0.02238633505372345,0.0020908602377377153,0.002101395763263258,-1.0535525525542672e-05
11520,103,1,371.02606768694613,319.57166972489836,51.45439796204778,0.45381756199199186,0.35963753251001,0.09418002948198184
11520,103,2,237.16583458658488,204.16599422780067,32.99984035878421,0.27935094949949946,0.24253846680180177,0.036812482697697685
12800,101,1,5.248718572923762,5.375351240451324,-0.12663266752756197,0.003131490950950947,0.0032045794019018876,-7.308845095094045e-05
12800,101,2,3.2551848494668394,3.2546323677901774,0.0005524816766619978,0.00195866142892894,0.001893474767267221,6.518666166171918e-05
12800,102,1,5.4321979296262795,5.536642094130197,-0.10444416450391714,0.003357399702202174,0.0033832961186186276,-2.589641641645348e-05
12800,102,2,3.3012174516886232,3.308902860371518,-0.007685408682894579,0.0020577277152152144,0.0019989525125124964,5.877520270271795e-05
12800,103,1,282.5018621948152,244.95487718288092,37.54698501193428,0.30822995168668677,0.2608777627002001,0.04735218898648669
12800,103,2,254.73600120162428,218.59709598333512,36.13890521828915,0.29864265360110115,0.26975562995996,0.028887023641141152
