contrast,cells,fid_negative,kid_negative,fid_kid_sign_agree
Bmatch-Bsame,42,24,22,36
Bmatch-A,42,22,21,39
Bsame-A,42,26,26,34
Cmatch-A,42,31,33,40
Dmatch-A,42,7,6,37
