job_id,seed,arm,kimg,nfe,mid_t,fid50k_full,kid50k_full,samples,sample_seed_start,sample_seed_end,metric_seed,precision,source,fid_timestamp,kid_timestamp,status
seed3-armA-kimg000256-nfe1,3,A,256,1,,312.64151134638655,0.3238822820620621,50000,0,49999,20260730,fp32,server-main,1787568635.3886669,1787568564.7381694,SEALED_PASS
seed3-armA-kimg000256-nfe2,3,A,256,2,0.821,83.288253863497431,0.070761925112612561,50000,0,49999,20260730,fp32,server-main,1787560380.6598022,1787560366.0657425,SEALED_PASS
seed3-armA-kimg000384-nfe1,3,A,384,1,,159.51563548048125,0.15188237372122121,50000,0,49999,20260730,fp32,server-main,1787568656.3769636,1787568591.9840322,SEALED_PASS
seed3-armA-kimg000384-nfe2,3,A,384,2,0.821,32.401199188363961,0.022626039281781783,50000,0,49999,20260730,fp32,server-main,1787568758.313789,1787568666.5521476,SEALED_PASS
seed3-armA-kimg000512-nfe1,3,A,512,1,,19.944632317420911,0.014461214744744716,50000,0,49999,20260730,fp32,server-main,1787568820.6379113,1787568814.5679862,SEALED_PASS
seed3-armA-kimg000512-nfe2,3,A,512,2,0.821,5.3820266357019433,0.0038212428603603575,50000,0,49999,20260730,fp32,server-main,1787568918.1651084,1787568912.3350587,SEALED_PASS
seed3-armA-kimg000640-nfe1,3,A,640,1,,12.170873729193408,0.0079491589539539657,50000,0,49999,20260730,fp32,server-main,1787568936.644733,1787568931.1373403,SEALED_PASS
seed3-armA-kimg000640-nfe2,3,A,640,2,0.821,3.5420402688385457,0.001846535825825813,50000,0,49999,20260730,fp32,server-main,1787569037.0417209,1787569014.0084338,SEALED_PASS
seed3-armA-kimg000768-nfe1,3,A,768,1,,10.756266113544724,0.0069002716466466654,50000,0,49999,20260730,fp32,server-main,1787569027.4526627,1787568993.3471563,SEALED_PASS
seed3-armA-kimg000768-nfe2,3,A,768,2,0.821,3.1523575175471166,0.0013239614814814695,50000,0,49999,20260730,fp32,server-main,1787569171.8768175,1787569165.9838088,SEALED_PASS
seed3-armA-kimg000896-nfe1,3,A,896,1,,9.635333140382393,0.0060347318568568786,50000,0,49999,20260730,fp32,server-main,1787569122.068108,1787569116.5841815,SEALED_PASS
seed3-armA-kimg000896-nfe2,3,A,896,2,0.821,3.0185680686734555,0.0011779147347347725,50000,0,49999,20260730,fp32,server-main,1787569272.6477704,1787569267.1623874,SEALED_PASS
seed3-armA-kimg001024-nfe1,3,A,1024,1,,9.4613672938936695,0.0060050769944945074,50000,0,49999,20260730,fp32,server-main,1787569216.9932387,1787569211.443197,SEALED_PASS
seed3-armA-kimg001024-nfe2,3,A,1024,2,0.821,3.0240452535188052,0.0011786098573573918,50000,0,49999,20260730,fp32,server-main,1787569368.3321135,1787569362.3986745,SEALED_PASS
seed3-armBsame-kimg000256-nfe1,3,Bsame,256,1,,293.2491604847844,0.30320035143893886,50000,0,49999,20260730,fp32,server-main,1787569842.1404612,1787569836.358383,SEALED_PASS
seed3-armBsame-kimg000256-nfe2,3,Bsame,256,2,0.821,70.907101341495093,0.055745678413413435,50000,0,49999,20260730,fp32,server-main,1787569984.3418956,1787569978.6618695,SEALED_PASS
seed3-armBsame-kimg000384-nfe1,3,Bsame,384,1,,140.90769489222558,0.12861754919419413,50000,0,49999,20260730,fp32,server-main,1787569972.724833,1787569967.6306615,SEALED_PASS
seed3-armBsame-kimg000384-nfe2,3,Bsame,384,2,0.821,20.931157458451267,0.014516033273273261,50000,0,49999,20260730,fp32,server-main,1787570095.809874,1787570089.6048305,SEALED_PASS
seed3-armBsame-kimg000512-nfe1,3,Bsame,512,1,,33.393052605992594,0.025754383888888874,50000,0,49999,20260730,fp32,server-main,1787570042.3994222,1787570037.2075386,SEALED_PASS
seed3-armBsame-kimg000512-nfe2,3,Bsame,512,2,0.821,7.2540799770824727,0.0051011276851851608,50000,0,49999,20260730,fp32,server-main,1787570157.4471169,1787570143.4394214,SEALED_PASS
seed3-armBsame-kimg000640-nfe1,3,Bsame,640,1,,12.292780573044325,0.0080182684534534244,50000,0,49999,20260730,fp32,server-main,1787570159.422888,1787570150.3790371,SEALED_PASS
seed3-armBsame-kimg000640-nfe2,3,Bsame,640,2,0.821,3.5694478857638083,0.0014731612462462226,50000,0,49999,20260730,fp32,server-main,1787570245.9785552,1787570228.7928712,SEALED_PASS
seed3-armBsame-kimg000768-nfe1,3,Bsame,768,1,,10.131356164715287,0.0064580527027026805,50000,0,49999,20260730,fp32,server-main,1787570223.3545413,1787570217.5221534,SEALED_PASS
