seed,kimg,A_nfe1_fid,A_nfe1_kid,Bsame_nfe1_fid,Bsame_nfe1_kid,Bmatch_nfe1_fid,Bmatch_nfe1_kid,A_nfe2_fid,A_nfe2_kid,Bsame_nfe2_fid,Bsame_nfe2_kid,Bmatch_nfe2_fid,Bmatch_nfe2_kid
3,256,312.64151134638655,0.3238822820620621,293.2491604847844,0.30320035143893886,327.7005042437479,0.34092799987988004,83.28825386349743,0.07076192511261256,70.90710134149509,0.055745678413413435,164.49986220322785,0.16602154409409417
3,384,159.51563548048125,0.1518823737212212,140.90769489222558,0.12861754919419413,269.9718534441033,0.272676670613113,32.40119918836396,0.022626039281781783,20.931157458451267,0.014516033273273261,58.88006446169691,0.04413994649899898
3,512,19.94463231742091,0.014461214744744716,33.393052605992594,0.025754383888888874,54.65100251644666,0.045725719972472455,5.382026635701943,0.0038212428603603575,7.254079977082473,0.005101127685185161,11.851806361572718,0.00717803558558558
3,640,12.170873729193408,0.007949158953953966,12.292780573044325,0.008018268453453424,12.27601000575509,0.007951923398398382,3.5420402688385457,0.001846535825825813,3.5694478857638083,0.0014731612462462226,3.7709983405094016,0.0020704548223223172
3,768,10.756266113544724,0.006900271646646665,10.131356164715287,0.0064580527027026805,10.89781541785394,0.0068914847747747945,3.1523575175471166,0.0013239614814814695,3.161915515359807,0.0011476098023023133,3.154567805027276,0.001446230342842823
3,896,9.635333140382393,0.006034731856856879,9.221745758392853,0.005839716258758781,9.331746977452653,0.005664160430430457,3.0185680686734555,0.0011779147347347725,3.033799778430211,0.0011104100825825797,2.8868323455186276,0.00105066773773769
3,1024,9.46136729389367,0.006005076994494507,8.760275226998814,0.005544742627627652,8.5439628501855,0.005104851316316281,3.024045253518805,0.0011786098573573918,2.984276917133206,0.0010985576276276517,2.766479190962804,0.0009328737562562719
4,256,241.4777276463745,0.2441868766141141,250.36817917265373,0.25418821584084084,308.8308458198313,0.32311655215215207,47.92866567503482,0.0387239603928929,46.14532486759115,0.03527606814314315,60.84989145766451,0.04594555566066064
4,384,117.86361191373416,0.10732546083083079,121.31531557856428,0.1104040105005004,194.27594134271658,0.19451311786286288,19.647795673909172,0.013812281056056058,19.192081430085576,0.014122187635135106,22.42498207317698,0.01391239843343345
4,512,35.40134340332881,0.02848353842592594,36.60353481193162,0.02898897963713712,23.6047650006764,0.01787864933433433,7.779008561957719,0.004306528906406447,7.589178545683119,0.004228451286286304,5.878002429665446,0.004135072625125099
4,640,11.815916273271572,0.007358564441941912,11.81457988511914,0.007201949384384388,10.771673394842757,0.006748213516016007,4.127724839079193,0.0015977771971971697,4.054916119230089,0.0015195280305305323,3.4139376757009727,0.0014565496521521436
4,768,8.845762170451119,0.005274598788788771,8.963433720508831,0.005234657920420414,9.131923943614982,0.005548307019519498,3.2277598731859025,0.0010934384209209385,3.215338898417213,0.0010614584759759326,2.982512437200992,0.0010948099899899808
4,896,8.22870972773979,0.004959558085585595,8.520885319480232,0.005176234787287276,8.279106785588695,0.005042995030030006,2.9706370692115964,0.0010337076376376127,3.0156002652948706,0.001081019587087094,2.8147319277902745,0.001048143458458476
4,1024,8.16701217793773,0.005051615733233243,8.412190637104143,0.005245519441941938,7.890400035321312,0.004781169592092083,2.9170978657673303,0.0010394575275275155,2.885186645701637,0.0010327727077077452,2.7260878756227527,0.000983737122122161
5,256,228.8103114536517,0.22999474537037037,242.97013976053955,0.2458584118993995,308.841364285362,0.3257219079429431,48.17061134449641,0.038865960250250256,48.062130191397785,0.038992116591591595,71.43173706170339,0.05749080215215216
5,384,116.20980022895128,0.10706123746746743,121.07897146202743,0.11090676587087092,153.29506060051682,0.14353158735735735,20.110261020474454,0.013956413581081045,19.785158682464814,0.01368833594344343,23.746195580537314,0.014701431448948955
5,512,35.66407528644131,0.02900566010010008,36.157798591272545,0.029075214141641617,26.204120414833028,0.021083235122622605,8.737582443957002,0.005003411363863875,8.172733533336455,0.004594133843843852,6.476184515271537,0.004872753716216194
5,640,12.665017716647053,0.007954711101101112,12.505179020543249,0.008051219692192227,11.163828583440749,0.007231236984484499,4.435843856765269,0.0019008123873874001,4.216758801182198,0.0017500920670670756,3.565927534305249,0.001692728200700717
5,768,9.799382308406635,0.005982445568068092,9.643773699535187,0.005939161579079064,9.376274949296914,0.005790957732732758,3.522171915744583,0.0013050005530530553,3.4283954882806875,0.0012399111686686637,3.095950665539447,0.0011308738913913658
5,896,8.967605599709916,0.005622095162662677,8.587816509448745,0.005302815803303301,8.505081257741457,0.005326061939439438,3.117284905480879,0.0011237814364364522,3.110568038665229,0.0011033288563563474,2.9136652897613047,0.0010239952927928245
5,1024,8.766631767906897,0.005642408145645605,8.381098863863588,0.0053275119619619685,7.818081056388162,0.004898058188188197,3.00435559067799,0.0010962769444444757,3.0000150342200698,0.0011244944094094445,2.7557738889442924,0.0009575834334334104
