seed,H,C,I,Q,H_A,G,Y_AA,Y_AB,Y_BA,Y_BB,logFID_A_512,logFID_B_512
31,-0.33245675999668856,-0.04843076828327786,-0.00213739912351274,-0.6344919662852195,-0.3313880604349322,0.30310390585028735,2.882923037691216,2.8355609689696943,2.5515349772562836,2.5020355094112494,5.50725663520198,4.87276466891676
32,0.02811969551058069,0.0027415343123189384,0.02203295483389711,0.008284592074332409,0.017103218093632133,0.008818626019299725,2.3541252540869286,2.345850310982299,2.3712284721805608,2.3849864839098283,3.286841136305485,3.2951257283798174
33,-0.02175261734920464,-0.008202893990632232,0.03510438591765075,0.08901368811483223,-0.039304810308030014,-0.12831849842286225,2.0557831505583506,2.030028063608893,2.0164783402503206,2.0258276392185137,3.323729345454369,3.412743033569201
34,-0.08680594933146635,0.029503004619181095,-0.01447387397647315,0.9745662770454588,-0.07956901234322977,-1.0541352893886886,2.2581352609641065,2.294875202571524,2.1785662486208768,2.2008323162518213,3.3196128297231358,4.294179106768595
35,0.03479244615671906,0.02749204385206605,-0.04401085292462703,0.5683254485006075,0.056797872619032574,-0.5115275758815749,2.053164584695662,2.1026620550100414,2.1099624573146945,2.115449074704447,3.4917220574346852,4.060047505935293
36,0.008889246365893166,0.005869701751855638,0.005354380989141649,-0.17933223549260102,0.006212055871322342,0.18554429136392336,2.1364807763568883,2.139673287614173,2.1426928322282106,2.151239724474637,3.8052170893832127,3.6258848538906117
37,-0.027237725223582254,0.008534730273590752,0.03807405089928961,0.04670227353008238,-0.04627475067322706,-0.09297702420330944,2.0475567069397504,2.0370544117636964,2.0012819562665234,2.028853711989759,3.358593675719164,3.4052959492492465
39,-0.0003208962443752572,0.0374242660175963,0.025906830006641623,-0.02739398247662539,-0.013274311247696069,0.01411967122892932,2.1124661310359807,2.136936982050256,2.0991918197882846,2.1495695008092017,3.259114791721664,3.2317208092450387
40,-0.25875243518235447,0.07274753227247732,-0.07012524638804774,-1.1961109779518702,-0.2236898119883306,0.9724211659635396,2.6249860592242475,2.7327962146907487,2.401296247235917,2.4389811563143704,4.455922865641647,3.2598118876897773
41,-0.0898781152917556,0.016993355924826092,0.03042871258091351,0.5347514749490538,-0.10509247158221235,-0.6398439465312662,2.315021846027722,2.316800845662091,2.2099293744455095,2.2421370866607924,3.1166736074343273,3.651425082383381
42,-0.08582730276093464,0.03844141423021119,0.018658080576266833,-0.2359329607734666,-0.09515634304906806,0.14077661772439853,2.3896192641072154,2.418731638049293,2.2944629210581473,2.342233375576492,3.246837208927925,3.0109042481544583
