schema,experiment_protocol,branch,origin_arm,continuation_arm,switch_relative_step,protocol,arm,target_gap_scale,denominator_gap_scale,attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,stage,loss,loss_nonfinite_count,raw_grad_norm,raw_grad_finite_norm,raw_grad_nonfinite_count,sanitized_grad_norm,sanitized_grad_nonfinite_count,update_norm,update_nonfinite_count,model_norm,model_nonfinite_count,ema_norm,ema_nonfinite_count,sample_count,batch_sha256,t_sha256,base_r_sha256,target_r_sha256,denominator_r_sha256,target_delta_sha256,denominator_delta_sha256,base_r_zero_count,target_r_zero_count,target_r_equal_t_count,target_scaled_to_zero_count,denominator_r_zero_count,denominator_r_equal_t_count,denominator_scaled_to_zero_count,target_delta_min,target_delta_max,target_delta_mean,denominator_delta_min,denominator_delta_max,denominator_delta_mean,factor_nonfinite_count,nonpositive_denominator_count,learning_rate,grad_scale_before,grad_scale_after,step_skipped,elapsed_sec,gpu_hours_cumulative,online_ema_distance,radam_first_moment_norm,radam_second_moment_norm
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,140,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4140,4129,529920,529.920000,0,17.638712286949158,0,2233.0001158990335,2233.0001158990335,0,2233.0001158990335,0,0.14346373294619458,0,3962.41863834891,0,3962.2312301071415,0,128,37c22d0dc4bf637293f5a89e27e5d3f10c33591ce6bc40ef2cd719bb483be33e,f4da1c098d6a58abddcd679216895deb00f7b9bbcb0760348aadaa829d6040fe,b3a7438308fc0910d1bd7354974e6c8870fc58b66f85e6acb00af0ff9c4d28e1,b4e0ffb012e76a65bb4a4c2da9adcde90548e711ba883a51d84bee83834a9d23,b4e0ffb012e76a65bb4a4c2da9adcde90548e711ba883a51d84bee83834a9d23,071c4835b7779b5e3ed4da5cb2eb06a5ed7e3b9fb2773b7e9b085eca7d6285bf,071c4835b7779b5e3ed4da5cb2eb06a5ed7e3b9fb2773b7e9b085eca7d6285bf,0,0,0,0,0,0,0,3.2626790925860405e-05,0.275909423828125,0.012397364131174982,3.2626790925860405e-05,0.275909423828125,0.012397364131174982,0,0,0.0001,64,64,0,5585.706372,1.551585103,20.288172279780579,315.2763113572214,91245.074972367118
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,141,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4141,4130,530048,530.048000,0,16.423516392707825,0,2864.013205708362,2864.013205708362,0,2864.013205708362,0,0.14465809752238951,0,3962.4183325898748,0,3962.2313247492184,0,128,af94b9649b0326ad988dc3eb704cb46a0e6c5b71481035560c15d58169f19c0c,f8512cf5050809246078a28573486af6376048c1e43a0a256261015cd7cd2644,92f3a92d4af8ca6d7a02375c3980842be6c8dae89618b78f69e7add8e1b5fc3d,586b179a0f382750834edeffe74b4336ebd5b6f0afacdf918aa8ea9402750be9,586b179a0f382750834edeffe74b4336ebd5b6f0afacdf918aa8ea9402750be9,6bd69a2bac3fb3f5da1561fe906248d98e862cf77872ade47199f4d763fd46b9,6bd69a2bac3fb3f5da1561fe906248d98e862cf77872ade47199f4d763fd46b9,0,0,0,0,0,0,0,3.9017293602228165e-05,0.22174453735351562,0.013397709815762937,3.9017293602228165e-05,0.22174453735351562,0.013397709815762937,0,0,0.0001,64,64,0,5587.230438,1.552008455,20.284994270444241,410.57435682072241,91388.784490381338
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,142,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4142,4131,530176,530.176000,0,15.264778256416321,0,3104.1479011420556,3104.1479011420556,0,3104.1479011420556,0,0.15960982949850355,0,3962.4180092087031,0,3962.2314190772177,0,128,47b45b2fb182cd6efd8d7738bf1aa605155b546b0e39ec10bd4930c2375055b2,1d80062f7a81a233757452af988dd6aa11290e69fb94352ee9182083aa76a93d,49a5206fb433248cc382ddf649230f604fd0ee9fed60387681e31063a35e6cdd,0d5157880c94003e633a5a21393f321d918c86bbe2247ae1ff0030e854b9b91a,0d5157880c94003e633a5a21393f321d918c86bbe2247ae1ff0030e854b9b91a,8e69854b7cd8ba386058d3160fcfce74068f2b75ce049ce98779b6a3fa53657b,8e69854b7cd8ba386058d3160fcfce74068f2b75ce049ce98779b6a3fa53657b,0,0,0,0,0,0,0,3.0601746402680874e-05,0.067297935485839844,0.010851648985408247,3.0601746402680874e-05,0.067297935485839844,0.010851648985408247,0,0,0.0001,64,64,0,5588.758247,1.552432846,20.281027006242066,509.51618163751601,91440.604285647831
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,143,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4143,4132,530304,530.304000,0,14.615002751350403,0,2061.0882762646797,2061.0882762646797,0,2061.0882762646797,0,0.16314502508397913,0,3962.4176529729261,0,3962.2315130974225,0,128,55ce95ace2ed27d8e0ffb0b80fcc410437d144cbc94d628ea80ba4009d16f307,02e66ccf2bbee07017f3c7e52bdbfaf531e0bc9685ac0302aee52e8c0767a1c7,0e9f1e450edfcf70022d8ad7d5e939d7e83406da3d19ec687998ede3209f370a,8d07cafb6eef15ca82b72fc6dc7d0cc87f6f404af99eefce60c31ed329c50e41,8d07cafb6eef15ca82b72fc6dc7d0cc87f6f404af99eefce60c31ed329c50e41,2c92a3b83b430637740df6a983b7f4c8208812ec5fb53fa5a707350f6cefeaa8,2c92a3b83b430637740df6a983b7f4c8208812ec5fb53fa5a707350f6cefeaa8,0,0,0,0,0,0,0,4.664156585931778e-05,0.18989944458007812,0.011304998653940856,4.664156585931778e-05,0.18989944458007812,0.011304998653940856,0,0,0.0001,64,64,0,5590.354733,1.552876315,20.277313994958345,481.67606498859237,91427.935412495237
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,144,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4144,4133,530432,530.432000,0,18.35328209400177,0,1524.0784019889841,1524.0784019889841,0,1524.0784019889841,0,0.15931678132518548,0,3962.4172559137105,0,3962.2316067396291,0,128,2f578ce78b8d0b1d68d13c69491bc3e04831e55a9f44b0a38946a2d91b64ff88,e6fb1150ee869e603970e8ef82311a89af07188ea770d991682d1f5ac4d68bcd,a33434cc6c65fdb2ee8852ac886e31a943f30d830bc24c213b7b451c7ba6a673,1c0931778d238380d942e5a17b2e48b5daa9e38b40c4f9d28e3696c08b051194,1c0931778d238380d942e5a17b2e48b5daa9e38b40c4f9d28e3696c08b051194,61ef8245b8d7f75c15b6f20c020c81ab52a3ef99139cf3b41f1ee81b0f662b33,61ef8245b8d7f75c15b6f20c020c81ab52a3ef99139cf3b41f1ee81b0f662b33,0,0,0,0,0,0,0,1.1341413483023643e-05,0.063793182373046875,0.0085573599208146334,1.1341413483023643e-05,0.063793182373046875,0.0085573599208146334,0,0,0.0001,64,64,0,5591.883234,1.553300898,20.273917112177777,446.93441051212307,91369.15259602631
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,145,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4145,4134,530560,530.560000,0,16.696645855903625,0,1514.2529256796074,1514.2529256796074,0,1514.2529256796074,0,0.15554186871717277,0,3962.4169007161845,0,3962.2317000939433,0,128,1da8c40da92a96a4d37f4c68820b0e7254d7c803af5d5db83309997bbdc80464,543b08483b1f71c754a0c740c61b15fff471a76ad518de226bf400e244933e93,d0fed20b1c7ce006a9110659e4d7394aabffc173154e862efcf32885865fad2b,129bdf085a53b1b3f402a8c02f0551c1ca2b2df69d288a0ca5659cc0847577e1,129bdf085a53b1b3f402a8c02f0551c1ca2b2df69d288a0ca5659cc0847577e1,9c3af7b80dfbcfa36f4bb5a9d5809fd8f5bbf1892134c5c7bb61803184a46063,9c3af7b80dfbcfa36f4bb5a9d5809fd8f5bbf1892134c5c7bb61803184a46063,0,0,0,0,0,0,0,9.4699673354625702e-05,0.20151901245117188,0.012885280651971698,9.4699673354625702e-05,0.20151901245117188,0.012885280651971698,0,0,0.0001,64,64,0,5593.408770,1.553724658,20.270455381004226,445.42433626243923,91318.975005400469
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,146,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4146,4135,530688,530.688000,0,16.120851516723633,0,1264.1270750804199,1264.1270750804199,0,1264.1270750804199,0,0.15084204477548538,0,3962.4166064142064,0,3962.2317932134029,0,128,96544dc66ff5a2b84124305d9cc775073547654964e6d42b057daec1421222fa,7d8044735ec69e1bba327b2d804afbd0948f16a4d5fdbcf9c5c93051d3dfc67b,0d27c0d92a5a380642788b72c7ac96f149ba287ef2407f0c05e36858538b574f,de241a6a8f4dbd00c4a0983b25d848e0264f20adc5309c1179327c7e36973e67,de241a6a8f4dbd00c4a0983b25d848e0264f20adc5309c1179327c7e36973e67,026129f1d54720657f3224f723e735b9254744d6b7e9489ee70b5928e77eb54f,026129f1d54720657f3224f723e735b9254744d6b7e9489ee70b5928e77eb54f,0,0,0,0,0,0,0,4.3447216739878058e-06,0.36968994140625,0.014797596493735909,4.3447216739878058e-06,0.36968994140625,0.014797596493735909,0,0,0.0001,64,64,0,5594.931776,1.554147716,20.267248426166216,406.25344879912757,91251.30081479864
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,147,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4147,4136,530816,530.816000,0,15.10735809803009,0,1862.0905247151131,1862.0905247151131,0,1862.0905247151131,0,0.14935433053479685,0,3962.4163898394727,0,3962.231886132342,0,128,b42750966a00a1022a89028cd95ea9bcd2bb76db45b92daba9306130493e7ab4,23be0b071d778f948be30ca192c2a4a714b348c2736335f2d4fb776e8858288a,ccacd525b59bb9793941bd3470290ea709055140d64bca7e48dfecce4abed0f5,65095264494667a3dcaa0724f5ddd0b44d5c8e8f85f8dab8508cfaab9e342177,65095264494667a3dcaa0724f5ddd0b44d5c8e8f85f8dab8508cfaab9e342177,edc2206aae70e05a339e1bbbabca1c251ca768de4b90721761320126afccb427,edc2206aae70e05a339e1bbbabca1c251ca768de4b90721761320126afccb427,0,0,0,0,0,0,0,9.3580689281225204e-05,1.939971923828125,0.027780249947682023,9.3580689281225204e-05,1.939971923828125,0.027780249947682023,0,0,0.0001,64,64,0,5596.455321,1.554570923,20.264288023488128,425.14846915476556,91226.25166933547
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,148,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4148,4137,530944,530.944000,0,17.134802460670471,0,1464.4061122345129,1464.4061122345129,0,1464.4061122345129,0,0.14571489761054565,0,3962.4162818869477,0,3962.2319788952395,0,128,39490e4f04c0cbf26cfe43ac3c7c839862ea6b0d22374b75b72f9b6abd5e4d81,d5ff1a9b84658dc7545ab4dd97af1e100501c9cd41752371d5b5cb76ebae4b72,4418d0f06510d626a5189879a669359183393b03edc7027482482cb76cf22df2,dfef44eddc085dd6f2885c1589518ba6ce82fffa4c91c17c84d099fb91c14f5c,dfef44eddc085dd6f2885c1589518ba6ce82fffa4c91c17c84d099fb91c14f5c,93ca91b733facde6df6fe57bd22fe46de9ace42c1f0dfc789e0f024214c802e6,93ca91b733facde6df6fe57bd22fe46de9ace42c1f0dfc789e0f024214c802e6,0,0,0,0,0,0,0,6.4592808485031128e-05,0.0581512451171875,0.0093928670976310968,6.4592808485031128e-05,0.0581512451171875,0.0093928670976310968,0,0,0.0001,64,64,0,5597.977628,1.554993786,20.261473367087973,382.43251176947359,91172.757284364925
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,149,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4149,4138,531072,531.072000,0,17.238197684288025,0,1173.1476091528525,1173.1476091528525,0,1173.1476091528525,0,0.14375601961035006,0,3962.4162408782404,0,3962.2320715463698,0,128,06c8279f060a6bead92049e87f5a0b173e56bde2c23dbdac6219028165c8d028,141279c2d4bffda790a58f471f99541e66822c8c6c3812dafcd0504bd8b1f4e1,2485b0a0456a1a932dd293d75dc7934291f0597b11bfee0ef34efd40a94f35db,6defec848ecddfe5546662fdf6e46b8f96111ab529df60538be7ade020dbcd46,6defec848ecddfe5546662fdf6e46b8f96111ab529df60538be7ade020dbcd46,5594314ce589abdf6921b5d25dce4e42cb773e2af060d5feb52ac12b5c505e78,5594314ce589abdf6921b5d25dce4e42cb773e2af060d5feb52ac12b5c505e78,0,0,0,0,0,0,0,5.0012022256851196e-05,0.13990020751953125,0.011638237861916423,5.0012022256851196e-05,0.13990020751953125,0.011638237861916423,0,0,0.0001,64,64,0,5599.501599,1.555417111,20.258880291539981,351.29267653610827,91098.304227907109
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,150,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4150,4139,531200,531.200000,0,18.147935390472412,0,1849.7642306708349,1849.7642306708349,0,1849.7642306708349,0,0.14543711183303096,0,3962.4162668842741,0,3962.2321642147458,0,128,9e1d6e35b8f4dd8c8deb434c7f260356233ca32b8878c2812f4243ba4529124f,9efaaa4f6948f11cd2cf6a05769f333fe7750eeb4864e58369f545f7cc3a3a4c,cd4bd37cc7f500452d9ca67970aebe24110d33422e7507210e7e7c392348f816,5bd5fb04b17b30e32c9e0971e2271a55d25f16a85986148020033240b4c66e28,5bd5fb04b17b30e32c9e0971e2271a55d25f16a85986148020033240b4c66e28,05ddd6ea3ace57f17a6b2dee190be697da4caea8811ca4478124e0a30f2677b1,05ddd6ea3ace57f17a6b2dee190be697da4caea8811ca4478124e0a30f2677b1,0,0,0,0,0,0,0,2.5464920327067375e-05,0.11547470092773438,0.010715120530221611,2.5464920327067375e-05,0.11547470092773438,0.010715120530221611,0,0,0.0001,64,64,0,5601.024369,1.555840103,20.256661102983884,371.89388138277576,91060.008088299539
