phase,label,gpu_index,elapsed_seconds,gpu_hours
evaluation,e2035e986c6b106b9f2dc711,3,243.14912127889693,0.06754142257747137
evaluation,e24e036732e54e0946ab2331,5,701.7826279625297,0.19493961887848046
evaluation,e3d71d93de50cf8cb1839037,4,242.3995455428958,0.06733320709524883
evaluation,e535b42cf6d3129e0f0ae23c,3,730.7617044551298,0.20298936234864717
evaluation,e5399d8aa3cb3eafec64cb12,0,243.23534059897065,0.06756537238860295
evaluation,e9a01c9df6101de480d7aeed,2,701.145497164689,0.1947626381013025
evaluation,ec0354cd8c1175010b1a7832,0,273.6313153235242,0.07600869870097894
evaluation,eca131c1d16079761d312840,1,243.4307779399678,0.06761966053887995
evaluation,eccccf8cbc2d8ddc395aee44,2,702.2855630740523,0.19507932307612566
evaluation,ed624a1f33c470fa78780084,2,304.2563777109608,0.08451566047526689
evaluation,ee677fd5d3c889a16a8d0a49,5,610.4329891996458,0.16956471922212385
evaluation,eef9a6b4caf8805771042a6a,0,303.5948230000213,0.08433189527778369
evaluation,f0493e3c05502685c30eba41,1,732.8560882015154,0.20357113561153206
evaluation,f1d160ec2085da8d64fcc752,1,761.783899561502,0.2116066387670839
evaluation,f2a48e1d20316ed181a14416,4,730.2093972228467,0.202835943673013
evaluation,f374b573f2072a7df9c6e90f,3,304.4821317810565,0.08457836993918237
evaluation,f37fa2c79bac3e8a6f281e89,0,243.06000254675746,0.0675166673740993
evaluation,f3bedeaa0db1fcf80cfccec3,3,579.781201374717,0.1610503337151992
evaluation,f49c5bc38d4a3fd6eb593807,3,640.0443044938147,0.1777900845816152
evaluation,f530528e4d9b06222b61f06e,2,578.026608929038,0.1605629469247328
evaluation,f59a2b6b1def31b03717570b,1,273.8803204121068,0.07607786678114078
evaluation,f66cc81cf3bf03cfdfa519a0,2,242.97469707764685,0.06749297141045746
evaluation,f7dfd681d66b0b8d923c04ce,3,333.4943357696757,0.09263731549157657
evaluation,fa6500f6a14b25c13496f208,5,761.4590734587982,0.2115164092941106
evaluation,fad9751d0c6fc839518d5350,0,701.3365713562816,0.1948157142656338
evaluation,fae6653f06ee2212b34c2dd0,5,486.30797631293535,0.13508554897581537
evaluation,fb919556cabc3a0f7fc47cff,5,212.49173912685364,0.05902548309079268
evaluation,fbab81acd92012bc974b69d0,3,579.6912497440353,0.1610253471511209
evaluation,fde034e592e9c7af0ee46db2,4,668.9066451927647,0.18580740144243463
evaluation,fe67b564775b065aa50ef2fb,0,242.90866776090115,0.06747462993358365
evaluation,ffdced76fa199e0ea9e00ac2,3,243.07032050099224,0.06751953347249784
