budget_kimg,cell,fid50k_full,kid50k_full,kind,nfe,opaque_id,seed
640,AA,17.737531153411368,0.012023466639220715,suffix,1,fe67b564775b065aa50ef2fb,32
1024,AB,3.113443242212291,0.0014847167767584324,suffix,2,d965b3e44fd549cb84a2c025,32
640,BA,23.21308254641617,0.013823779299855232,suffix,1,659b6ea3ee2c8512e4f4be78,31
896,AB,8.688834905007889,0.00518181873485446,suffix,1,b0d8bf66d96dd1dcc20eede3,35
640,AB,17.80025227579433,0.012008246965706348,suffix,1,2a6fcffdbcf474ed8b5deb28,42
768,BA,14.671816408194271,0.00970873050391674,suffix,1,4fed58c0e7f708f4ada9578d,40
640,AA,14.010545027568504,0.008962768130004406,suffix,1,a12ae021af86f896d710cd47,34
640,BB,18.351476206861257,0.01294239517301321,suffix,1,2ec3df81b21b820b131dc9ca,32
768,BB,14.321913161655749,0.009541874751448631,suffix,1,4db0a606352223952d771622,42
640,AB,10.950911135521794,0.006441164296120405,suffix,1,2a820c2287fe2d7988b57bb1,39
512,B,73.27204122781458,0.06394648551940918,prefix,1,30e70be63a30649ba4643d44,34
896,BB,9.349548180173628,0.006019621156156063,suffix,1,20473fd1179d6ba8506d4df0,35
768,BB,15.018906895066939,0.009953517466783524,suffix,1,bd191bbc83e5c6ed83cb7ed0,40
896,BA,8.224413159911546,0.004984892439097166,suffix,1,b356eaab1fb1a6c5bc27f407,33
768,BB,10.088709078010377,0.0062585691921412945,suffix,1,c19023f8aceffd04ce7dbf9a,36
1024,BA,8.83363194300227,0.005434348247945309,suffix,1,ffdced76fa199e0ea9e00ac2,34
1024,BB,3.068051678953548,0.0014113500947132707,suffix,2,53a376abe179f4568f32c698,40
1024,BB,2.8555196681319366,0.0010830810060724616,suffix,2,3a05bf73009642e812beaa68,39
1024,AB,15.375821062269399,0.009837739169597626,suffix,1,e5399d8aa3cb3eafec64cb12,40
896,BB,12.978449956124262,0.0083498265594244,suffix,1,7a98184c4a4a136e4e362c65,40
896,BA,10.258092178450298,0.006435459014028311,suffix,1,570269f91c47be308ca7802a,41
1024,AA,7.792522224524612,0.004484331235289574,suffix,1,b9fba2851dd55249118ffd3a,35
640,AB,16.22570395266055,0.010790410451591015,suffix,1,38081f11a73fb7b1baacfd5f,41
1024,BB,3.9148946798424884,0.001460119616240263,suffix,2,82389059cdf1658fa4d6be96,31
768,AB,9.911941184584897,0.005785414949059486,suffix,1,01b3b077c038a952d67b88f7,39
640,BB,18.059937674072238,0.012325048446655273,suffix,1,1c3e06d1b8e8682e88ddeca4,40
1024,BA,2.730882640613515,0.000968603475484997,suffix,2,778c5cf83c7f711ba8a0da28,41
1024,BA,3.041170659967829,0.0010030468693003058,suffix,2,433bfddfcdb16c5a24436c5b,35
896,BA,12.478655124768549,0.007939126342535019,suffix,1,03ec433c04008b7d0c98c432,40
640,BA,10.270344824891515,0.006159225944429636,suffix,1,4457db167077545b67a750cc,37
1024,BB,8.581163417984634,0.005600339267402887,suffix,1,6b987a1f673fdec5867aca8f,39
768,BA,12.461664608198587,0.008197196759283543,suffix,1,a2a1f65209e705bec2a2fd84,41
768,AA,13.124037488443278,0.008367624133825302,suffix,1,c9e09281b1e5e2efbf5e8dd0,41
1024,BB,11.461357460408953,0.007172598037868738,suffix,1,f49c5bc38d4a3fd6eb593807,40
1024,AB,2.727208282975798,0.000974526337813586,suffix,2,8e9416d2559f65b4818e6bad,37
640,AA,10.806146263914822,0.00654396740719676,suffix,1,76a8a34c21ac3b7a69bdcf25,36
1024,BB,12.207316796800518,0.007499733939766884,suffix,1,0e958bff27e986319d2d3694,31
768,BB,9.986555058556815,0.0061925784684717655,suffix,1,588616c9181a5ef1dec2be65,39
1024,AA,2.7817715048091705,0.0009339697426185012,suffix,2,a7d6ac054bf928f93c225a70,36
896,AB,10.649317631964584,0.006582563277333975,suffix,1,c5e6b2cd2a3c29f3b10ee0ef,34
1024,BB,2.802194551445661,0.0009431421058252454,suffix,2,be4ca309dde693381e47dee7,36
1024,AB,11.23160453684391,0.006944941356778145,suffix,1,390c6d56a170042864725f9f,42
896,AA,8.749181988152309,0.005421081557869911,suffix,1,a616c0f0410435398c02dd13,33
640,AB,11.09125843209493,0.007058966904878616,suffix,1,c6210af00bf45daa0ae0d08d,33
