layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.006091663415218066,0.006161257407915657,0.9956598990813584,1.0070347802957158,0.9844135019324697,0.09412969112717783,0.09613765103454532,0.0,131108,131328,0.9983248050682261,0.9999999999999998,1.0070347802957158,0.09411976821477912,0.5109200437534515,1.0,1.5,131108,1.0070348162362561,0.09413142934724929,1.0001048369794128,0.0011868490219132674,0.001186851711891441,2.8587498890907908e-09,0.0060916641296797375,0.006161256358830158,1.0070345520158441,0.9844138449295254,0.09412900825248065,0.09613706571142362,0.0
model.dec.16x16_block0.conv0,0.02224114447251934,0.022041058896708002,0.9953829044464423,0.9864282500744511,1.004418847888283,0.0951202271524445,0.09605865313487665,0.0,1178902,1179904,0.9991507783684096,1.0000000000000002,0.986428250074451,0.09508422161468985,0.4214876033057851,0.9864885149334264,1.5517241379310345,1178902,0.9864282548536246,0.09511470691000826,0.9864598619948652,0.001836593635766687,0.0018365936354454739,1.3971264099916583e-07,0.022241136593196816,0.022041042730645496,0.986428385434254,1.0044197474373515,0.09511490830975095,0.09605331152786514,0.0
model.dec.16x16_block0.conv1,0.015910381602557828,0.015727281274126467,0.9951491136549958,0.9836967089232881,1.0067348497000534,0.09724589715892497,0.0983894074000461,0.0,589458,590080,0.9989459056399133,1.0000000000000002,0.9836967089232879,0.09720101326937215,0.40395440652063197,0.983957219251337,1.5671641791044777,589458,0.9836979675761636,0.09722096562708515,0.9838890768603271,0.002060656990921012,0.002060656988232277,9.111380674792614e-08,0.01591037329566054,0.015727284794698093,0.9836980506914642,1.006734720929976,0.09723981952031453,0.09838319605600428,0.0
model.dec.16x16_block0.norm0,0.0005653929367884534,0.0005656420554406099,0.9950057948989445,0.9954442059337925,0.9945675769479825,0.09986115405832001,0.10075096125185981,0.0,1020,1024,0.99609375,1.0,0.9954442059337925,0.09964875049656183,0.5377884615384616,1.0,1.5559611344537807,1020,0.9955126501299245,0.09963702594301795,0.9959145105515197,0.002799989913257361,0.002799989913321727,5.586740266946558e-10,0.0005653617511408878,0.0005656433014453676,0.9955077159608188,0.994516929917968,0.09980298595687141,0.1006947663186778,0.0
model.dec.16x16_block0.norm1,0.00045327717124226183,0.00045411121414649263,0.996099569921167,0.9979324214983228,0.994270084649015,0.08839866959669929,0.08934045544943696,0.0,512,512,1.0,1.0,0.9979324214983228,0.08839866959669929,0.5439205955334987,1.0,1.5747297297297291,512,0.9978609169011312,0.08851456584997637,1.001954446286187,0.005103839253507514,0.005103839253834473,0.0,0.0004532824375324345,0.0004540781496887772,0.997846944224608,0.9943528176962027,0.08840501378532992,0.08934101478579556,0.0
model.dec.16x16_block0.skip,0.006746959028508465,0.006679988088773038,0.9946912755885517,0.9848178779302406,1.0046636600580323,0.10188272437459148,0.10296529540584594,0.0,131301,131328,0.9997944078947368,1.0,0.9848178779302406,0.10187159306446335,0.3684210526315789,0.9850749055802206,1.6058577405857741,131301,0.984819014172492,0.10189284483805815,0.9851030641587554,0.001214852999308895,0.001214852999342668,4.257951556736843e-09,0.00674695721432297,0.006679993851313039,0.9848190592075057,1.004662591493125,0.10188219289606926,0.10296469678166292,0.0
model.dec.16x16_block1.affine,0.006906696970962685,0.006828685573675898,0.9945258966419714,0.9832926899208547,1.0058874323281388,0.10331016390434526,0.10451642369128623,0.0,131119,131328,0.9984085648148148,1.0,0.9832926899208546,0.103293192538628,0.0,0.9951833021139952,1.7530864197530864,131119,0.9832933346657892,0.10332002867014824,0.9928107086283039,0.001600399340148894,0.001600399841913791,6.898051562477001e-09,0.0069066943403122754,0.00682868708758873,0.9832933347774202,1.0058868797411138,0.10330972798256421,0.10451594358900107,0.0
model.dec.16x16_block1.conv0,0.022726669172007115,0.02247555351825328,0.9945213376822882,0.9835324913188346,1.005632960614351,0.10337873559124779,0.10456572706400599,0.0,1178952,1179904,0.9991931546973313,1.0,0.9835324913188346,0.10334232739313616,0.3616089275364147,0.984313725490196,1.609375,1178952,0.9835322016813036,0.10337425588941956,0.984318428323405,0.001944045256519071,0.0019440452567751178,1.6031972636746648e-07,0.02272666345755702,0.022475535433684104,0.9835323214763976,1.0056338995694603,0.10337511788309676,0.10456211750760595,0.0
model.dec.16x16_block1.conv1,0.015294475763008925,0.01510425300202743,0.9946603039678066,0.9822893648005379,1.0071870425780545,0.10191952617274039,0.10320840656068032,0.0,589455,590080,0.998940821583514,1.0,0.9822893648005376,0.10187124001562771,0.36,0.9825997952917093,1.6056338028169015,589455,0.9822885166433184,0.10190040171219872,0.9825477377837369,0.0021722521205438574,0.0021722521204573467,9.493094499779818e-08,0.0152944598328304,0.015104214851227728,0.982288600024335,1.0071892482946265,0.10191269363675205,0.10320162457793947,0.0
model.dec.16x16_block1.norm0,0.0006654472288423142,0.0006629661602726161,0.9954791304999824,0.9917675634884694,0.9992045875903688,0.09462640065000529,0.09540678753939873,0.0,1023,1024,0.9990234375,1.0,0.9917675634884694,0.09461554750709975,0.5107372587827808,0.9940828402366864,1.6428571428571428,1023,0.9918786346378571,0.09452758436823087,0.993610157158419,0.0021185855297271854,0.0021185855292872448,3.7508667934390737e-11,0.0006654031070000553,0.0006629974930967737,0.9918929911572548,0.9991040001503129,0.0945030065277234,0.09528243803761095,0.0
