nfe,budget_kimg,seed,A_fid,B_fid,fid_delta_B_minus_A,A_kid,B_kid,kid_delta_B_minus_A
1,512,3,19.9446431997046,33.39304453942802,13.448401339723418,0.014461312357357361,0.025754356551551547,0.011293044194194185
1,512,4,35.40135231976663,36.603542888514355,1.2021905687477243,0.028483426141141122,0.028989057037037025,0.0005056308958959026
1,512,5,35.66407614327825,36.15779812153293,0.49372197825467623,0.029005650085085072,0.02907522914164162,6.957905655654781e-05
1,640,3,12.170882267916879,12.29277779534012,0.12189552742324139,0.007949131318818805,0.008018346031031019,6.921471221221429e-05
1,640,4,11.815916324599621,11.814579888795645,-0.0013364358039762436,0.007358566944444419,0.007201956894394402,-0.00015661005005001682
1,640,5,12.665014485882322,12.50517679150568,-0.15983769437664286,0.007954655625625638,0.008051194739739725,9.653911411408762e-05
1,768,3,10.756250737016597,10.131339433516576,-0.6249113035000207,0.006900393711211209,0.006458170007507502,-0.00044222370370370755
1,768,4,8.845749743279546,8.963437037757014,0.11768729447746828,0.0052746340065064935,0.005234555097597599,-4.0078908908894144e-05
1,768,5,9.799395503898612,9.643773696164075,-0.15562180773453704,0.0059825431831832115,0.00593914156156155,-4.340162162166147e-05
1,896,3,9.635335965695488,9.221746023250926,-0.4135899424445615,0.006034689369369398,0.005839701253753783,-0.00019498811561561528
1,896,4,8.228713068518957,8.520899083327997,0.2921860148090403,0.004959575678178198,0.005176242232232202,0.00021666655405400397
1,896,5,8.967594739070964,8.587823768630395,-0.3797709704405694,0.005622107847847851,0.005302725558058028,-0.0003193822897898232
1,1024,3,9.46137543201393,8.760264625376726,-0.7011108066372049,0.006005159386886913,0.005544640277777785,-0.0004605191091091275
1,1024,4,8.167003348330324,8.412189271270686,0.24518592294036168,0.00505161341341342,0.005245547172172174,0.00019393375875875404
1,1024,5,8.766631908630757,8.381100430828242,-0.3855314778025143,0.0056423956381381,0.00532753443693693,-0.0003148612012011699
2,768,3,3.152353833117942,3.1619141486002276,0.009560315482285642,0.0013240692342342208,0.0011475498273273298,-0.00017651940690689098
2,768,4,3.2277602415481055,3.215338782074798,-0.012421459473307639,0.0010935557682682701,0.0010614459659659314,-3.2109802302338715e-05
2,768,5,3.5221685711334243,3.428393813523379,-0.09377475761004517,0.0013048954829829608,0.0012398357532532782,-6.505972972968262e-05
2,896,3,3.0185689549601253,3.033802185761341,0.015233230801215747,0.0011779521571571785,0.001110432439939923,-6.751971721725546e-05
2,896,4,2.9706375283631443,3.0156006422120587,0.04496311384891438,0.0010336023823823552,0.0010808394244244527,4.7237042042097555e-05
2,896,5,3.1172850225192583,3.1105639274193475,-0.006721095099910812,0.0011237740640640595,0.0011032332382382311,-2.0540825825828392e-05
2,1024,3,3.0240451173815877,2.984275780358463,-0.039769337023124685,0.0011786198623624023,0.00109852223723728,-8.009762512512235e-05
2,1024,4,2.9170968591687063,2.88518753384507,-0.03190932532363622,0.001039417124624606,0.0010327097547547645,-6.707369869841462e-06
2,1024,5,3.004353992824494,3.0000145820136295,-0.004339410810864308,0.0010963342892893115,0.0011244842042042,2.8149914914888524e-05
