nfe,budget_kimg,paired_seeds,A_fid_mean,B_fid_mean,fid_delta_mean,fid_delta_sd,B_fid_wins,A_kid_mean,B_kid_mean,kid_delta_mean,kid_delta_sd,B_kid_wins
1,512,3,30.336690554249827,35.38479518315843,5.0481046289086065,7.283489586607741,0,0.02398346286119452,0.027939547576743398,0.003956084715548878,0.006357732779467081,0
1,640,3,12.217271026132941,12.204178158547148,-0.01309286758579257,0.14123406930558954,2,0.007754117962962954,0.007757165888388382,3.047925425428364e-06,0.0001389412018967454,1
1,768,3,9.800465328064918,9.579516722479221,-0.22094860558569648,0.3755846939342014,2,0.006052523633633638,0.005877288888888884,-0.0001752347447447544,0.00023122518950026202,3
1,896,3,8.943881257761802,8.776822958403105,-0.16705829935869687,0.39807654513723634,2,0.005538790965131816,0.005439556348014671,-9.923461711714484e-05,0.0002805595125861862,2
1,1024,3,8.798336896325004,8.517851442491885,-0.2804854538331192,0.4818146692101991,2,0.0055663894794794775,0.00537257396229563,-0.0001938155171838478,0.0003436075992750157,2
2,768,3,3.300760881933157,3.2685489147328015,-0.03221196720035572,0.05443604026580277,2,0.001240840161828484,0.0011496105155155132,-9.122964631297077e-05,7.567814662102247e-05,3
2,896,3,3.035497168614176,3.0533222517975824,0.017825083183406438,0.02593940318790616,1,0.0011117762012011977,0.0010981683675342024,-1.3607833666995434e-05,5.769166520506325e-05,2
2,1024,3,2.981831989791596,2.9564926320723877,-0.025339357719208404,0.018606269738826665,3,0.00110479042542544,0.0010852387320654149,-1.9551693360025095e-05,5.525499946266221e-05,2
