seed,arm,q,window,sum_update_norm,net_displacement_norm,net_source,first_attempt,last_attempt
301,AA,128,1_5,0.9563705296123444,0.6387856033201385,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
301,AA,128,6_10,0.07564949939956782,0.07408648428369848,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
301,DA,128,1_5,0.8911655241978039,0.5228699159524501,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
301,DA,128,6_10,0.06292893745004505,0.05939277683933832,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
301,A_startup_down5,128,1_5,0.8850364425728008,0.5224707640293772,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
301,A_startup_down5,128,6_10,0.06294322149166807,0.05952716322716615,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
301,D_startup_up5,128,1_5,0.9670230606592063,0.6418963907932754,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
301,D_startup_up5,128,6_10,0.07543650023175101,0.07388672972660668,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
302,DA,128,1_5,1.0454792358164609,0.5631671091230501,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
302,DA,128,6_10,0.06332130704346531,0.060007752997979176,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
302,A_startup_down5,128,1_5,0.9410082187512581,0.515174124808176,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
302,A_startup_down5,128,6_10,0.06300969213344498,0.0594097151092291,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
302,D_startup_up5,128,1_5,1.050152197103496,0.5918726431088913,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
302,D_startup_up5,128,6_10,0.06293933351401747,0.059143734637067694,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
302,AA,128,1_5,1.0326673102758988,0.5881432137514342,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
302,AA,128,6_10,0.06300831631896633,0.05921192553837237,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
