layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.08805754819218607,0.08805851223635817,0.9237766469022021,0.9237867603054372,0.923766533609686,0.3829359181118578,0.38293355422650205,0.0,131328,131328,1.0,1.0,0.9237867603054372,0.3829359181118578,0.9987739087788131,1.0,1.0001226091221187,131328,0.9238049724639197,0.3828633866302471,0.9999999978097467,0.010658200444507951,3.132700865805411e-05,0.0,0.08805767914100118,0.08805863907169174,0.9237869847538779,0.9237668443870907,0.38293525462480327,0.38293291036853966,0.0
model.dec.16x16_block0.conv0,0.2640118297795722,0.2640055338798506,0.9305308524223085,0.9305086620191753,0.9305530433546296,0.3662047738671814,0.36630021580631744,0.0,1179894,1179904,0.9999915247342157,1.0,0.930508662019175,0.3661932101175523,0.9995095033721643,1.0,1.0000613045610593,1179886,0.9305284052599767,0.36621972492707605,0.9999999979478749,0.005814720434917875,4.776666665082204e-05,1.7934199647588315e-07,0.2640127326935727,0.2640066957712483,0.9305102769337936,0.9305528325399914,0.3662033492324575,0.36629843325691197,1.7934418869192762e-07
model.dec.16x16_block0.conv1,0.18669765639538258,0.18669471752091266,0.9301568310860079,0.9301421891552161,0.930171473247287,0.3671566770293441,0.3672408606027327,0.0,590075,590080,0.9999915265726681,1.0,0.9301421891552161,0.3671451431837292,0.9994175477533054,1.0,1.0000613083195389,590071,0.9301472565335116,0.3671867115305769,0.9999999979896944,0.006346876668589785,5.5068404189930225e-05,8.968418730741947e-08,0.18669929120655457,0.18669654079881476,0.9301447085881147,0.9301721145168902,0.36715304410785454,0.3672368763064239,8.968206514417739e-08
model.dec.16x16_block0.norm0,0.00777906689391485,0.007779067076374038,0.9433683293624585,0.9433683514893051,0.9433683072356126,0.33174719338474173,0.33239767741738785,0.0,1024,1024,1.0,1.0,0.9433683514893051,0.3317471933847418,1.0,1.0,1.0,1024,0.943371865403565,0.33173713081514866,0.9999999976172256,0.0001346784371105267,1.7890276365223956e-05,0.0,0.007779348616034387,0.0077793528206132065,0.9433656583239614,0.9433646385850998,0.3317564101180054,0.33240649167517433,0.0
model.dec.16x16_block0.norm1,0.005500946870688458,0.005500920596694827,0.917964163466925,0.9179597790245461,0.9179685479302453,0.3966614319303876,0.3966901679900928,0.0,512,512,1.0,1.0,0.9179597790245461,0.39666143193038755,1.0,1.0,1.0,512,0.917964566455803,0.3966623879576935,0.9999999969783622,0.00015776285592434872,3.833097875065057e-05,0.0,0.0055008497154315494,0.005500810424137896,0.9179631364412135,0.9179762501772595,0.39664769588377513,0.3966772788974861,0.0
model.dec.16x16_block0.skip,0.08809733175579414,0.08809692336338763,0.9276257084872341,0.9276214082968893,0.9276300086975134,0.37350937270668016,0.37354519809274933,0.0,131326,131328,0.9999847709551657,1.0,0.9276214082968891,0.3734889910494843,0.9999387067116151,1.0,1.0,131324,0.9276380453299542,0.3734804640412684,0.9999999978809471,0.0007683737347333007,1.0567183084535948e-05,3.5898314576661634e-08,0.08809748848689282,0.08809709639993052,0.927621954648445,0.9276302116580081,0.3735085113724297,0.3735442738005864,3.589961801554625e-08
model.dec.16x16_block1.affine,0.08806421919974124,0.08806250354113314,0.9331657656807802,0.9331475858355126,0.9331839458802329,0.35943931285013264,0.359602593488663,0.0,131328,131328,1.0,1.0,0.9331475858355126,0.35943931285013264,0.9991722869405273,1.0,1.000122616639078,131328,0.9331344196378533,0.3595276833372153,0.9999999980845599,0.009528352147806923,2.839151351652828e-05,0.0,0.08806435404944844,0.08806262661144834,0.9331476704030347,0.9331842800436426,0.35943872126035986,0.3596020672901884,0.0
model.dec.16x16_block1.conv0,0.2640097316405846,0.2640029133850496,0.9294573281805664,0.9294333242261175,0.9294813327549524,0.3689201064430218,0.36899411499401796,0.0,1179892,1179904,0.9999898296810588,0.9999999999999998,0.9294333242261174,0.36890633698013625,0.9995089614534741,1.0,1.0000613083195389,1179884,0.9294510867471587,0.36894535823411306,0.9999999979582656,0.006121822666135937,4.798923109026762e-05,2.151297601242133e-07,0.26401067995076843,0.2640041446675048,0.9294350979332394,0.9294811138533957,0.3689185433448587,0.3689921573967848,2.15124116573295e-07
model.dec.16x16_block1.conv1,0.18668921527926577,0.18668502771759568,0.9262478998357154,0.9262271234871912,0.9262686766502771,0.37690642725572043,0.3769328987967442,0.0,590074,590080,0.9999898318872017,1.0,0.9262271234871912,0.3768929699440288,0.9990191270230505,1.0,1.0001226091221187,590068,0.9262452040743764,0.3769215064350905,0.9999999978763268,0.006637372456810667,5.899986686134303e-05,1.074093190929883e-07,0.1866913536750481,0.1866873526181166,0.9262300504317142,0.9262697525199771,0.3769018855592651,0.37692799356975193,1.0740547922045591e-07
model.dec.16x16_block1.norm0,0.007779229195662205,0.007779218068204139,0.9238338368401998,0.9238325153825051,0.9238351582997848,0.38279318529929246,0.38279578016201926,0.0,1024,1024,1.0,1.0,0.9238325153825051,0.38279318529929246,1.0,1.0,1.0,1024,0.9238317931025825,0.38279866881388,0.9999999995884131,4.317324907869612e-05,1.8819585977951875e-05,0.0,0.007779381292699026,0.007779363620216218,0.9238315326316525,0.9238357299969433,0.3827933592744123,0.3827962788564687,0.0
