seed,arm,budget_kimg,training_state,training_state_bytes,training_state_sha256,snapshot,snapshot_bytes,snapshot_sha256,metadata,metadata_sha256,status
6,B,896,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/896k/training-state.pt,895724792,eb1ea5b8be6d5083d4a39ea537bbc4af61ab393a51bfc779f1419c8328535554,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/896k/network-snapshot.pkl,223185675,faa94678e29083a6f283fcb05b8e62e5325e06f12d81ab745e0a050ee9c0fba5,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/896k/metadata.json,7f1077555117279afdc0138fbb50828ba8ef5a52f655a32e8ad8205bbd392b7a,PASS
6,B,1024,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/1024k/training-state.pt,895724792,3eab4f1917f5592ce6e4a8cde6b7f949460cf62063047250147e3ba3c8a3bda5,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/1024k/network-snapshot.pkl,223185675,7111f5f459e7bdf2287d0e8c950ef07c8b813861c30dc390bb716a2289eb7894,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/1024k/metadata.json,73a07e508eb14c3dafefe26efb0a65df606449594fdd0438f1d89b2af708a708,PASS
7,A,384,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/384k/training-state.pt,895724792,db9fe2e995746a1bf1fd25389033827711cbae8819c2d93bc38496717d5c85cb,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/384k/network-snapshot.pkl,223185675,d2a63e244f1e6ea90c86159d5e1e6a551589739fa2fc00178693dc66ff788588,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/384k/metadata.json,a61b36e4bd0ed6e186b97ad9075fa1e1d72b55f6b879f4aeaea6593a829b9ab9,PASS
7,A,512,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/512k/training-state.pt,895724792,904e3cf2123f249206931c8263e8c6871036f09208cdbb01e1aa96c3ec621fd4,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/512k/network-snapshot.pkl,223185675,58378f43115681314204430a0c99b8a4feada2e7f54d7b90995ad65f8ef9f075,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/512k/metadata.json,5aafd124d9f16007c0f71afc051f1b7d1d31e9b4f969619b9c7510fbe9c8f228,PASS
7,A,640,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/640k/training-state.pt,895724792,0cecc36c6f9fe58f6718d5c220271425b692d96dfbe278ed124a9e29c4118648,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/640k/network-snapshot.pkl,223185675,b1b357529378bde1ea472979cd10c81014e961ddeec5a944df8cdc74c7835541,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/640k/metadata.json,2ce73f7dee0f4a2d5950a5956211883b53563b557a3e3b2261b19d379d5d0fde,PASS
7,A,768,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/768k/training-state.pt,895724792,66f2414b8dcb332542241a2453c5e199e3697b0751a341cdd514e22fce4fbd52,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/768k/network-snapshot.pkl,223185675,bf681bf14571f219d5eaa556919c870f8290cc0ae844ec3ba60269ef2d9dac19,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/768k/metadata.json,bdd495969589eeb32a2ec1fa18175b26e75a792203e823407a5993d3385c641b,PASS
7,A,896,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/896k/training-state.pt,895724792,cb4a025ff02faaa7e63584955bc850b561699d006536686cd26eab9cdf50d3b6,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/896k/network-snapshot.pkl,223185675,516b5953f781389155cebeb622e809a47e934a29fb9850d67e2c8d1045a90657,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/896k/metadata.json,7bacac2ee42d91b489840efe7f2ad60647232f39aebbc33fb89ab29106d282de,PASS
7,A,1024,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/1024k/training-state.pt,895724792,a4164c7dab7d2ac4cf9372a7f1e3ae5195ad86bf3f28a2147fc48b8d5954ed72,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/1024k/network-snapshot.pkl,223185675,cae3b91701fcf88601b195191decd6b13b211da6cf842e8ce82cddcca33ac35f,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armA/checkpoints/1024k/metadata.json,e1944c119afe2d0ca60c0371f540e212c50f2367b70d4c0d7a80cf5403365229,PASS
7,B,384,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/384k/training-state.pt,895724792,c1d75b5b801ff7b9b176c5237be36992d36b3bad65a12af524b9c166f6924ba1,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/384k/network-snapshot.pkl,223185675,18db07926b7c8b577dbfe6fd1c034579fb747b92345ee3916d2fefef74de54fa,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/384k/metadata.json,f1cd8aa183c20e3f4ae8cbc7f01f4ca7cef1d5f77ca25a376c784f2705f993eb,PASS
7,B,512,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/512k/training-state.pt,895724792,9a06876749202a6716ab4aa4894909f13aaf0ddca25244e1cf2b5e249a1c1550,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/512k/network-snapshot.pkl,223185675,4de8a69efe12e6c56e547e87043c34e451b5cd9b9f524a632d9091aad73c7ed7,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/512k/metadata.json,4175f66f9309b848529c812e613be84a7259152395aa0fba02efe36c528b3105,PASS
7,B,640,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/640k/training-state.pt,895724792,4185fd8bdc705d4de236c910b66499be1758d91f92c53bcfcf4752df1e3a62dd,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/640k/network-snapshot.pkl,223185675,071fddd768d44e76b70213d18b0d19fa6a6e38c7b3fbe8bc93d0b4e25438d883,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/640k/metadata.json,f733a022cf8b67291344b28f9d8ee55879ba0b732e23fa0f3610312760b4ffeb,PASS
7,B,768,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/768k/training-state.pt,895724792,39e604e14844c8f4102b027e171ff4f6af7e793ed1c371977394f50eeb3d65ae,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/768k/network-snapshot.pkl,223185675,28d6a724765664966454474bede4ba81c1235d4ba2e815561f3f9ed1216aba00,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/768k/metadata.json,63a4a6b3eff623e128ad0a064a953f78530bdee1591394a10953f86955c00c4b,PASS
7,B,896,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/896k/training-state.pt,895724792,3a5a61d18728d54008e109ce7d2b54dddd7c4a0f5c184a9855b6973ff79b4c16,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/896k/network-snapshot.pkl,223185675,3925ef42a87d78a90f423d88aff603832ffb7c8fb15f28c4d04617cd23984e9b,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/896k/metadata.json,13c8c84352c2f4e60abfe50a918a88b0c35e7713ba0ad5e7736d35ea26c1c738,PASS
7,B,1024,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/1024k/training-state.pt,895724792,1faa160b6c54279f762c7a0ed33cc05921c4c595e0ac0cc500a8fd754246597e,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/1024k/network-snapshot.pkl,223185675,ef7b8bf54e7026eb75d6ed5e1c049a0fe965f5c35cb566ed8623145ca8374dd8,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed7/armB/checkpoints/1024k/metadata.json,3528f6310e3726b127daddabcf78af6c5490aa40b562dc77b45eac6614f088d5,PASS
