seed,budget_kimg,nfe,fid_A,fid_B,B_minus_A_fid,kid_A,kid_B,B_minus_A_kid
6,384,1,245.86207685132865,172.0276739375327,-73.83440291379594,0.25321771178428415,0.1668972932982983,-0.08632041848598584
6,384,2,31.036316308898428,21.740524759190222,-9.295791549708206,0.020702339562062078,0.015327569904904904,-0.005374769657157174
6,512,1,38.08783499628684,38.98650478471191,0.8986697884250745,0.029086719349349338,0.03388605871871874,0.004799339369369403
6,512,2,6.704017296562357,7.698557019627024,0.9945397230646664,0.004660465042542519,0.004521086091091101,-0.00013937895145141755
6,640,1,15.00808140808985,11.978391407115499,-3.0296900009743517,0.010044782847847841,0.008059498566066078,-0.001985284281781763
6,640,2,4.109335476975026,3.691535065274027,-0.41780041170099924,0.0019167444069068916,0.0012923976926926843,-0.0006243467142142073
6,768,1,11.53490443034983,9.749020297876815,-1.785884132473015,0.007566514879879938,0.006450138591091072,-0.0011163762887888657
6,768,2,3.561027796988839,3.312814440535808,-0.2482133564530309,0.0014147190465465156,0.0011570831831832174,-0.00025763586336329815
6,896,1,9.573036566472027,9.027501541437676,-0.5455350250343507,0.006052253966466456,0.00591847143143143,-0.00013378253503502566
6,896,2,3.139272377065579,3.2184848952865153,0.07921251822093645,0.0011147803503503292,0.0011571293218217945,4.234897147146533e-05
6,1024,1,8.608455056024479,8.18673278440934,-0.4217222716151383,0.0054177423123122756,0.005332016016015992,-8.57262962962839e-05
6,1024,2,2.982469336294808,3.078720129386102,0.09625079309129392,0.0010846282157157157,0.001118357067067077,3.372885135136138e-05
7,384,1,259.8410330795713,269.72103282392163,9.879999744350357,0.26916772319819815,0.2733034478253255,0.004135724627127357
7,384,2,122.46054254093534,77.28816344585806,-45.172379095077275,0.1181140733083083,0.0636604093843844,-0.054453663923923895
7,512,1,23.405597863266564,58.07857948502185,34.672981621755284,0.016914100452952975,0.048818168120620634,0.03190406766766766
7,512,2,14.309356470795773,14.590522943844558,0.28116647304878484,0.009783876041041011,0.0096230609884885,-0.00016081505255251087
7,640,1,16.220878014008726,11.95793023770501,-4.262947776303715,0.011090155835835858,0.007563881206206224,-0.0035262746296296343
7,640,2,4.603463619922151,3.6327236089090604,-0.9707400110130902,0.0016846916941941708,0.0014048226126125792,-0.0002798690815815916
7,768,1,12.825417103223534,10.990670394264644,-1.8347467089588907,0.008381503173173205,0.006941555042542545,-0.0014399481306306599
7,768,2,3.623598173063562,3.2896362925216645,-0.33396188054189757,0.0018541960110110085,0.001637324604604596,-0.00021687140640641242
7,896,1,10.931086687845125,9.95691649510886,-0.9741701927362652,0.006961985783283262,0.006211559046546558,-0.0007504267367367048
7,896,2,3.2441560411624186,2.9325546935724045,-0.3116013475900141,0.001415265152652628,0.0011813640465465505,-0.00023390110610607738
7,1024,1,9.76113399886719,9.145345402103668,-0.6157885967635224,0.006149064769769775,0.005696745447947983,-0.00045231932182179194
7,1024,2,3.037461922998093,2.794581748088466,-0.2428801749096272,0.0010474994894894736,0.0009533304154154258,-9.416907407404785e-05
