seed,arm,nfe,fid_threshold,first_budget_kimg,observed_budgets_only
6,A,1,20,640,True
6,A,1,10,896,True
6,A,2,5,640,True
6,B,1,20,640,True
6,B,1,10,768,True
6,B,2,5,640,True
7,A,1,20,640,True
7,A,1,10,1024,True
7,A,2,5,640,True
7,B,1,20,640,True
7,B,1,10,896,True
7,B,2,5,640,True
