seed,arm,budget_kimg,nfe,fid50k_full,kid50k_full,training_state_sha256,snapshot_sha256,generated_feature_sha256,status
6,B,640,2,3.691535065274027,0.0012923976926926843,080b8571aa51456e7e0f25a781e43e60bfa0f13e2298529e2df9c18214e6317c,f50b4fce587a6b40a8a1d2641e8d76491b294a4a37e99decc5a26c59176042b8,714673c821f49943edc8b780afd1b1ef92ebaebf703fe1a2a88fe8eeb66e9d28,PASS
6,B,768,1,9.749020297876815,0.006450138591091072,fc10a8963961371edfe4afb6799bef13d367f574fb1893f9661d6861cb634de2,35bd8684d07201317f88b8b8aa60641663230e607abe7a0ede13ed05ef93550d,7dd1f2f84a539230e8d57d7cc0bf4345a522ca2842ab3d6b5ce6ef66084a09f7,PASS
6,B,768,2,3.312814440535808,0.0011570831831832174,fc10a8963961371edfe4afb6799bef13d367f574fb1893f9661d6861cb634de2,35bd8684d07201317f88b8b8aa60641663230e607abe7a0ede13ed05ef93550d,bb7a374f6eb3f97bfc84ccdef59f199f905767cc7731dd298dcec253362947eb,PASS
6,B,896,1,9.027501541437676,0.00591847143143143,eb1ea5b8be6d5083d4a39ea537bbc4af61ab393a51bfc779f1419c8328535554,faa94678e29083a6f283fcb05b8e62e5325e06f12d81ab745e0a050ee9c0fba5,b8fce3d854d8db77d20e4effa7b3e06ad8ec90b753eab059c8afa37ac4eb960f,PASS
6,B,896,2,3.2184848952865153,0.0011571293218217945,eb1ea5b8be6d5083d4a39ea537bbc4af61ab393a51bfc779f1419c8328535554,faa94678e29083a6f283fcb05b8e62e5325e06f12d81ab745e0a050ee9c0fba5,29dba5b0c6c9aeda24bca5afbce5b0007b6024bea13116188a854920226e8178,PASS
6,B,1024,1,8.18673278440934,0.005332016016015992,3eab4f1917f5592ce6e4a8cde6b7f949460cf62063047250147e3ba3c8a3bda5,7111f5f459e7bdf2287d0e8c950ef07c8b813861c30dc390bb716a2289eb7894,67e3eaaf60b71099d502fe91b1d10695cf5632ced150f7a67fed4d4c344bb834,PASS
6,B,1024,2,3.078720129386102,0.001118357067067077,3eab4f1917f5592ce6e4a8cde6b7f949460cf62063047250147e3ba3c8a3bda5,7111f5f459e7bdf2287d0e8c950ef07c8b813861c30dc390bb716a2289eb7894,d011440e284e707388bf50a73ccb5a666d0882312666503e3734096cc5985b4a,PASS
7,A,384,1,259.8410330795713,0.26916772319819815,db9fe2e995746a1bf1fd25389033827711cbae8819c2d93bc38496717d5c85cb,d2a63e244f1e6ea90c86159d5e1e6a551589739fa2fc00178693dc66ff788588,bf99841a5808697d8e7b5885dd48de5a371f5095f3e356705ff1af30d55dea9b,PASS
7,A,384,2,122.46054254093534,0.1181140733083083,db9fe2e995746a1bf1fd25389033827711cbae8819c2d93bc38496717d5c85cb,d2a63e244f1e6ea90c86159d5e1e6a551589739fa2fc00178693dc66ff788588,323776aa5236515554a4a6a46d2b4a4cb0280ce3344308d6c32b26d2e2645c2a,PASS
7,A,512,1,23.405597863266564,0.016914100452952975,904e3cf2123f249206931c8263e8c6871036f09208cdbb01e1aa96c3ec621fd4,58378f43115681314204430a0c99b8a4feada2e7f54d7b90995ad65f8ef9f075,ad3a7d2f2911dc5bd4d0993ee66ef7b82ce00d896c2f71276c8bc5245b1c3f1a,PASS
7,A,512,2,14.309356470795773,0.009783876041041011,904e3cf2123f249206931c8263e8c6871036f09208cdbb01e1aa96c3ec621fd4,58378f43115681314204430a0c99b8a4feada2e7f54d7b90995ad65f8ef9f075,7b1ff476d1a8569aea9e476566e9d238b14168cac3029158d7ce7838b2f8575d,PASS
7,A,640,1,16.220878014008726,0.011090155835835858,0cecc36c6f9fe58f6718d5c220271425b692d96dfbe278ed124a9e29c4118648,b1b357529378bde1ea472979cd10c81014e961ddeec5a944df8cdc74c7835541,0f39acce35e01ca85195a22ffa4cb5f3396c08dbc00d42ec4eba0ee4e3e20b01,PASS
7,A,640,2,4.603463619922151,0.0016846916941941708,0cecc36c6f9fe58f6718d5c220271425b692d96dfbe278ed124a9e29c4118648,b1b357529378bde1ea472979cd10c81014e961ddeec5a944df8cdc74c7835541,4c3d432de60c46927e58436a5ac9e20cc1b611922a0c2d37f86bf890d1d56324,PASS
7,A,768,1,12.825417103223534,0.008381503173173205,66f2414b8dcb332542241a2453c5e199e3697b0751a341cdd514e22fce4fbd52,bf681bf14571f219d5eaa556919c870f8290cc0ae844ec3ba60269ef2d9dac19,c2e5f79f5f922eee979c0146a1a9ffbc37b0f18f302d56c7baa9ffb9e51d3c23,PASS
